video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
1.5.26_EH_Fastball1,0,578.7,564.91,0,566.56,551.95,0.9877,578.7,564.91,0.9926,0.328998,0.286944,-0.069317,0.323745,0.273303,-0.059934,0.322534,0.272498,-0.060063,0.321314,0.271724,-0.060027,0.323229,0.273545,-0.084856,0.32167,0.273121,-0.085077,0.319916,0.272759,-0.085181,0.310135,0.274757,-0.01205,0.307887,0.27624,-0.123623,0.323219,0.300503,-0.046687,0.321902,0.300173,-0.080189,0.289969,0.343948,0.08233,0.293984,0.354457,-0.170937,0.271111,0.443466,0.108878,0.266566,0.456401,-0.190802,0.293454,0.517529,0.037274,0.301408,0.523066,-0.166258,0.296604,0.538419,0.033191,0.309993,0.541277,-0.19016,0.302136,0.530084,0.009904,0.315272,0.534281,-0.18179,0.302104,0.525239,0.025672,0.312002,0.527779,-0.161733,0.246065,0.518885,0.081687,0.257152,0.522911,-0.081732,0.220757,0.653459,0.125884,0.307456,0.645563,-0.067145,0.18709,0.781432,0.162066,0.328024,0.795296,-0.037899,0.174349,0.80647,0.162474,0.320676,0.82388,-0.03583,0.213931,0.802292,0.130213,0.367816,0.794214,-0.072947
1.5.26_EH_Fastball1,1,578.72,564.87,0,572.64,552.91,0.9881,578.72,564.87,0.9924,0.328427,0.286946,-0.063336,0.32342,0.273404,-0.051613,0.322211,0.272649,-0.05175,0.320994,0.271921,-0.051706,0.322914,0.273582,-0.079214,0.321394,0.27314,-0.079435,0.31967,0.272762,-0.079533,0.309578,0.274898,0.001488,0.307742,0.276288,-0.121859,0.322562,0.300549,-0.039323,0.321471,0.300208,-0.076244,0.288272,0.344156,0.095523,0.294278,0.35451,-0.172851,0.269362,0.443913,0.117949,0.267463,0.456404,-0.199721,0.293401,0.517285,0.03716,0.301419,0.523032,-0.175249,0.295823,0.539181,0.032807,0.310704,0.541185,-0.200402,0.300709,0.530128,0.008658,0.315543,0.533336,-0.191032,0.301917,0.52511,0.025084,0.31258,0.526894,-0.170446,0.246003,0.518848,0.083492,0.258117,0.522945,-0.083543,0.221546,0.653371,0.124727,0.308263,0.645943,-0.057867,0.187402,0.781235,0.152144,0.328358,0.795193,-0.026199,0.174502,0.805956,0.151553,0.321135,0.82376,-0.023823,0.213996,0.802669,0.117369,0.367748,0.794618,-0.058552
1.5.26_EH_Fastball1,2,583.0,563.0,0,579.75,552.21,0.987,580.31,565.43,0.9925,0.328429,0.287026,-0.051761,0.323414,0.273457,-0.041063,0.322205,0.272715,-0.041202,0.320983,0.271994,-0.041149,0.322914,0.273627,-0.068259,0.321406,0.273176,-0.068481,0.319708,0.272781,-0.068583,0.309624,0.275051,0.00714,0.308157,0.276351,-0.114816,0.322559,0.300549,-0.029385,0.321529,0.300228,-0.065959,0.287887,0.344178,0.096129,0.294924,0.354567,-0.168331,0.267199,0.44421,0.124032,0.269635,0.456727,-0.193468,0.272612,0.522206,0.05591,0.302245,0.523542,-0.167014,0.270871,0.540444,0.053473,0.311992,0.541373,-0.190742,0.27636,0.533586,0.031411,0.31667,0.533346,-0.180961,0.278076,0.527684,0.04514,0.313956,0.526896,-0.161806,0.246272,0.519107,0.083246,0.259129,0.52368,-0.083299,0.222788,0.653389,0.124738,0.309712,0.645929,-0.053862,0.187491,0.781234,0.151015,0.328544,0.795187,-0.025377,0.174502,0.806021,0.150501,0.321482,0.823762,-0.023042,0.214233,0.802637,0.119024,0.367952,0.795915,-0.054596
1.5.26_EH_Fastball1,3,600.97,556.87,0,600.97,556.87,0.9879,587.3,565.46,0.9925,0.328463,0.287039,-0.05974,0.323406,0.273544,-0.048242,0.32217,0.272819,-0.048399,0.320912,0.272121,-0.04836,0.322927,0.273707,-0.077318,0.321435,0.27325,-0.07753,0.319778,0.27284,-0.077618,0.309575,0.27546,0.001985,0.308468,0.27664,-0.126504,0.32253,0.300591,-0.036791,0.321569,0.300331,-0.075433,0.287797,0.345289,0.094209,0.295579,0.354968,-0.180323,0.269442,0.446417,0.120686,0.271658,0.458286,-0.206933,0.296266,0.520912,0.040798,0.305888,0.523578,-0.180013,0.302563,0.540443,0.037128,0.317063,0.541373,-0.204138,0.311264,0.533427,0.012356,0.321463,0.53311,-0.19519,0.306515,0.526892,0.028228,0.318358,0.526673,-0.175324,0.24707,0.520049,0.083853,0.260978,0.524546,-0.08391,0.225129,0.653914,0.124908,0.312357,0.646045,-0.051925,0.187599,0.781395,0.15064,0.328944,0.795443,-0.019748,0.174445,0.806257,0.149934,0.321637,0.823949,-0.017257,0.215215,0.803024,0.116908,0.368655,0.79767,-0.050174
1.5.26_EH_Fastball1,4,609.45,553.75,0,609.45,553.75,0.9866,601.02,565.38,0.993,0.328464,0.287034,-0.039887,0.323251,0.273613,-0.029471,0.321952,0.272904,-0.029598,0.320609,0.272214,-0.029534,0.322843,0.273773,-0.057629,0.321363,0.273311,-0.057844,0.31973,0.27289,-0.057941,0.309259,0.275644,0.016373,0.30847,0.27683,-0.110066,0.322464,0.300631,-0.018107,0.32157,0.300397,-0.055888,0.2874,0.345321,0.104611,0.297282,0.354935,-0.171658,0.265037,0.446611,0.142923,0.276864,0.459383,-0.201142,0.255914,0.518936,0.086888,0.313033,0.523497,-0.169347,0.248897,0.540605,0.08673,0.323553,0.54094,-0.192561,0.254715,0.533945,0.066256,0.32852,0.532387,-0.180922,0.257658,0.527207,0.077242,0.325181,0.525857,-0.162905,0.248297,0.520354,0.084002,0.264378,0.525128,-0.084061,0.228435,0.654316,0.124902,0.315641,0.646055,-0.049191,0.188116,0.781505,0.15044,0.329624,0.795608,-0.017875,0.17449,0.806241,0.150034,0.321914,0.824347,-0.015145,0.215829,0.803352,0.118142,0.370627,0.799613,-0.045792
1.5.26_EH_Fastball1,5,619.01,550.16,0,619.01,550.16,0.9852,617.2,564.05,0.9935,0.328592,0.287069,-0.041113,0.323314,0.273793,-0.031035,0.322056,0.273155,-0.031158,0.3208,0.272523,-0.031094,0.322846,0.273896,-0.058673,0.321362,0.273442,-0.058888,0.319718,0.273009,-0.058976,0.309558,0.276078,0.014469,0.308466,0.277215,-0.109667,0.322612,0.300644,-0.019409,0.321647,0.300462,-0.056485,0.287436,0.345345,0.102443,0.298783,0.354975,-0.170319,0.265414,0.447913,0.137887,0.28174,0.460082,-0.197504,0.260253,0.532727,0.080144,0.321459,0.522264,-0.160056,0.256582,0.551982,0.079294,0.331351,0.538957,-0.182516,0.261725,0.547787,0.057916,0.336457,0.529792,-0.171204,0.264082,0.539828,0.069945,0.333584,0.523402,-0.153583,0.25124,0.521107,0.083954,0.269207,0.526153,-0.084014,0.232477,0.654699,0.119581,0.319999,0.647104,-0.04346,0.188508,0.781517,0.133146,0.330936,0.79619,-0.009927,0.174583,0.806154,0.131824,0.322466,0.824905,-0.00699,0.216061,0.803368,0.104615,0.372409,0.802887,-0.035771
1.5.26_EH_Fastball1,6,634.36,544.19,0,634.36,544.19,0.9822,632.04,562.5,0.993,0.328471,0.287047,-0.045884,0.323112,0.273769,-0.035675,0.321822,0.273142,-0.035796,0.320523,0.272519,-0.035737,0.322698,0.273879,-0.06233,0.321209,0.273435,-0.062547,0.31957,0.273009,-0.062654,0.309452,0.276117,0.011679,0.30845,0.277251,-0.111475,0.322568,0.300482,-0.023583,0.321629,0.30036,-0.059429,0.287463,0.345521,0.099795,0.299411,0.354914,-0.172725,0.284999,0.447848,0.135236,0.288073,0.460735,-0.19902,0.31845,0.51557,0.06555,0.329186,0.520838,-0.160711,0.327595,0.528925,0.063661,0.339507,0.535832,-0.182995,0.332998,0.528342,0.039515,0.343944,0.526529,-0.171755,0.330471,0.52363,0.052933,0.340777,0.521304,-0.154738,0.254564,0.523428,0.083952,0.272042,0.528212,-0.084016,0.236826,0.655846,0.119832,0.324013,0.647417,-0.039676,0.189444,0.781452,0.137146,0.332043,0.79636,-0.000133,0.174961,0.805916,0.136103,0.323225,0.824902,0.002864,0.216595,0.803367,0.106876,0.373051,0.805352,-0.02713
1.5.26_EH_Fastball1,7,649.78,541.24,0,649.78,541.24,0.9907,648.45,556.57,0.9929,0.32805,0.286406,-0.04724,0.322773,0.273542,-0.037363,0.321453,0.272967,-0.03749,0.32012,0.272372,-0.037439,0.322382,0.273626,-0.064212,0.32089,0.273178,-0.064425,0.319304,0.272722,-0.064514,0.308959,0.275919,0.009511,0.308422,0.276946,-0.112299,0.322189,0.300131,-0.025005,0.321352,0.299961,-0.061029,0.287324,0.3456,0.102247,0.300178,0.354611,-0.17247,0.287534,0.449326,0.133966,0.292503,0.46128,-0.198527,0.323302,0.500716,0.061763,0.337733,0.515339,-0.16037,0.323262,0.524201,0.059216,0.349081,0.530117,-0.182367,0.328136,0.523459,0.035804,0.353215,0.518984,-0.171988,0.326415,0.519436,0.049683,0.34935,0.514212,-0.154686,0.258886,0.524577,0.084146,0.277904,0.529523,-0.084221,0.241982,0.657128,0.115274,0.328206,0.648141,-0.039969,0.190844,0.781128,0.134141,0.333344,0.796809,-0.002038,0.175755,0.804551,0.133299,0.324135,0.824973,0.000688,0.216952,0.803357,0.104054,0.37452,0.809722,-0.030444
1.5.26_EH_Fastball1,8,663.0,538.0,0,660.8,528.61,0.9875,662.61,546.17,0.9929,0.327357,0.284283,-0.049166,0.322194,0.271646,-0.039687,0.320924,0.271294,-0.039813,0.319644,0.270919,-0.039764,0.321636,0.271569,-0.066063,0.320156,0.271312,-0.066279,0.318486,0.271057,-0.066361,0.308473,0.274413,0.007191,0.307796,0.274976,-0.112182,0.321229,0.298753,-0.027004,0.320258,0.298562,-0.06233,0.287167,0.345281,0.100374,0.300087,0.353334,-0.169961,0.29213,0.449229,0.130703,0.29856,0.460882,-0.198151,0.320885,0.50285,0.059988,0.345112,0.505714,-0.161068,0.324287,0.519388,0.057313,0.357167,0.51919,-0.183316,0.328725,0.51832,0.034554,0.360975,0.508061,-0.172539,0.327526,0.514593,0.048375,0.35699,0.503779,-0.155343,0.262987,0.526082,0.084007,0.2823,0.530368,-0.084093,0.247519,0.657307,0.114584,0.330795,0.648992,-0.041975,0.192703,0.779794,0.137892,0.335165,0.797461,-0.0078,0.178167,0.800275,0.137437,0.32507,0.825088,-0.005418,0.217795,0.803299,0.107781,0.374973,0.812038,-0.037573
1.5.26_EH_Fastball1,9,672.0,524.0,0,672.66,514.94,0.9876,674.15,531.83,0.9918,0.326109,0.283692,-0.036618,0.321228,0.27114,-0.028505,0.319965,0.270725,-0.028621,0.318747,0.270274,-0.028558,0.320469,0.271066,-0.053487,0.318871,0.270728,-0.053705,0.317291,0.270375,-0.053775,0.307846,0.273473,0.014435,0.306959,0.273941,-0.098348,0.320039,0.29805,-0.015405,0.31901,0.297987,-0.049096,0.286127,0.343498,0.101686,0.299958,0.350847,-0.153149,0.291741,0.448007,0.136823,0.303913,0.45859,-0.192928,0.284267,0.506266,0.087676,0.351118,0.492432,-0.161706,0.280913,0.522353,0.087967,0.363759,0.504321,-0.184083,0.284172,0.52237,0.070239,0.367135,0.494369,-0.172994,0.286784,0.51642,0.079318,0.362379,0.490024,-0.156038,0.266998,0.52637,0.081281,0.285665,0.530259,-0.081389,0.252114,0.657352,0.099328,0.333606,0.650684,-0.042604,0.195342,0.776997,0.114418,0.336431,0.799562,-0.037891,0.180916,0.795858,0.113489,0.326101,0.82629,-0.038933,0.217725,0.802288,0.088851,0.376272,0.814191,-0.077252
1.5.26_EH_Fastball1,10,689.0,511.0,0,691.25,507.12,0.9947,685.77,516.01,0.9911,0.323774,0.282213,-0.01637,0.319656,0.26981,-0.009428,0.318568,0.269307,-0.009547,0.317439,0.268677,-0.009482,0.318691,0.269769,-0.033358,0.316973,0.269332,-0.03358,0.315116,0.268797,-0.033645,0.306617,0.271422,0.029607,0.30488,0.272065,-0.0785,0.318015,0.296335,0.003606,0.316836,0.29673,-0.02887,0.283539,0.340687,0.10717,0.299917,0.3463,-0.131589,0.287927,0.445455,0.140424,0.309378,0.45035,-0.173996,0.275081,0.507119,0.097875,0.357171,0.477788,-0.150673,0.271132,0.524139,0.099115,0.370108,0.486493,-0.17145,0.274658,0.527245,0.081985,0.372828,0.476098,-0.158634,0.277501,0.520002,0.090089,0.36805,0.473081,-0.144268,0.270763,0.526278,0.077035,0.289767,0.530079,-0.077162,0.256622,0.656881,0.092397,0.33481,0.650613,-0.045467,0.19918,0.773214,0.098694,0.336953,0.799731,-0.054691,0.183334,0.788775,0.097322,0.326492,0.826625,-0.056309,0.218464,0.802325,0.077709,0.376083,0.815119,-0.09146
1.5.26_EH_Fastball1,11,700.39,489.54,0,700.39,489.54,0.994,697.51,495.15,0.989,0.321546,0.278765,-0.017869,0.317671,0.266196,-0.011493,0.316608,0.265764,-0.011618,0.31548,0.265242,-0.011558,0.316579,0.266275,-0.035514,0.314892,0.265961,-0.035726,0.312994,0.265562,-0.03579,0.304196,0.268504,0.026131,0.302426,0.269208,-0.082411,0.316066,0.292967,0.00167,0.315115,0.293497,-0.030908,0.281698,0.336358,0.104456,0.298661,0.339525,-0.134116,0.285577,0.442593,0.136276,0.31355,0.440105,-0.176795,0.278206,0.510689,0.089304,0.363288,0.458477,-0.153632,0.276214,0.527473,0.089304,0.376278,0.46778,-0.175449,0.280199,0.530253,0.071899,0.379308,0.456086,-0.16404,0.28225,0.521996,0.081186,0.374011,0.4527,-0.147785,0.274919,0.525823,0.073739,0.292887,0.528896,-0.073873,0.261499,0.656006,0.091777,0.334245,0.650538,-0.042803,0.203436,0.768158,0.104288,0.337432,0.79973,-0.045384,0.186019,0.778613,0.103495,0.327261,0.826499,-0.04968,0.220682,0.803866,0.082678,0.37586,0.814213,-0.088893
1.5.26_EH_Fastball1,12,707.61,465.43,0,707.61,465.43,0.9921,709.63,473.4,0.9818,0.319611,0.274258,-0.023134,0.316043,0.261565,-0.016914,0.314995,0.261028,-0.017047,0.313883,0.260472,-0.01699,0.315184,0.261922,-0.041016,0.31358,0.261654,-0.041221,0.311769,0.261323,-0.041282,0.302544,0.264283,0.021262,0.300826,0.265075,-0.087719,0.314512,0.287861,-0.003382,0.313926,0.288129,-0.036005,0.280851,0.329859,0.101981,0.296472,0.331929,-0.137712,0.283867,0.433754,0.130466,0.317604,0.429533,-0.179686,0.279191,0.502427,0.079164,0.369597,0.438332,-0.155034,0.276126,0.52134,0.077945,0.383034,0.446149,-0.17772,0.278958,0.526746,0.059425,0.385714,0.434442,-0.1669,0.281239,0.517874,0.069947,0.380324,0.432415,-0.149504,0.279226,0.522322,0.071943,0.295119,0.524966,-0.072081,0.265829,0.653697,0.08952,0.333699,0.650746,-0.035039,0.208321,0.761732,0.104018,0.337676,0.799679,-0.024853,0.190893,0.770654,0.10338,0.327747,0.826199,-0.027613,0.222517,0.803862,0.079704,0.375609,0.815768,-0.076274
1.5.26_EH_Fastball1,13,715.18,442.91,0,715.18,442.91,0.9941,718.18,452.83,0.974,0.316643,0.269993,-0.030452,0.313921,0.257547,-0.021396,0.312934,0.256852,-0.021513,0.311883,0.256099,-0.021453,0.313248,0.257863,-0.047276,0.311761,0.257505,-0.04749,0.310103,0.257069,-0.047564,0.300873,0.258586,0.016349,0.298898,0.259387,-0.092974,0.311932,0.283349,-0.009529,0.31148,0.283339,-0.043494,0.279451,0.323945,0.092495,0.293284,0.323775,-0.144385,0.284212,0.424093,0.126787,0.321525,0.415216,-0.188412,0.28097,0.491548,0.078475,0.374051,0.41929,-0.170326,0.27738,0.512413,0.078075,0.389142,0.422404,-0.191413,0.282385,0.511987,0.062947,0.39102,0.410327,-0.178875,0.283765,0.503451,0.071003,0.384645,0.410386,-0.164288,0.283104,0.517506,0.071044,0.296971,0.519502,-0.071184,0.270927,0.648606,0.09341,0.33311,0.650686,-0.034313,0.213104,0.756158,0.113867,0.337994,0.799177,-0.016364,0.195653,0.76326,0.113707,0.327753,0.825015,-0.017519,0.224522,0.803939,0.088477,0.376104,0.817573,-0.071622
1.5.26_EH_Fastball1,14,720.19,420.83,0,720.19,420.83,0.9926,724.46,426.56,0.9653,0.315241,0.267397,-0.046123,0.312448,0.254531,-0.039611,0.311438,0.25413,-0.039747,0.310423,0.253668,-0.03972,0.311658,0.254371,-0.065828,0.310232,0.253976,-0.066036,0.308658,0.253577,-0.0661,0.299426,0.255382,0.002738,0.297393,0.255771,-0.112596,0.310519,0.280514,-0.023463,0.309861,0.280468,-0.058533,0.277923,0.319163,0.087597,0.289637,0.319271,-0.159951,0.313702,0.392496,0.100444,0.32556,0.401601,-0.207217,0.355646,0.395912,0.017827,0.377323,0.394962,-0.183466,0.363359,0.40239,0.012229,0.39273,0.397133,-0.204646,0.365659,0.399094,-0.00359,0.393884,0.386809,-0.194128,0.362558,0.400125,0.008358,0.387354,0.385993,-0.178488,0.287503,0.514444,0.072242,0.299875,0.515195,-0.072362,0.275711,0.644897,0.097765,0.332426,0.650628,-0.04648,0.216927,0.752357,0.131969,0.33806,0.799134,-0.020431,0.199525,0.759211,0.134676,0.327653,0.825118,-0.020982,0.225944,0.804542,0.108857,0.376207,0.82009,-0.077057
1.5.26_EH_Fastball1,15,724.13,395.95,0,724.13,395.95,0.9907,731.71,402.1,0.9624,0.313038,0.266876,-0.053578,0.310531,0.253556,-0.04771,0.309479,0.253057,-0.047847,0.30849,0.252474,-0.047822,0.309956,0.253417,-0.074388,0.308657,0.252919,-0.074598,0.307339,0.25234,-0.074669,0.298299,0.252883,-0.002955,0.296704,0.253266,-0.122638,0.308229,0.279312,-0.030036,0.307721,0.27927,-0.066172,0.274223,0.314916,0.085436,0.287824,0.313614,-0.169972,0.320825,0.371454,0.089887,0.328072,0.386593,-0.223448,0.369803,0.363537,-0.000991,0.381101,0.372317,-0.208573,0.37769,0.366525,-0.007631,0.397094,0.373596,-0.233646,0.379963,0.363205,-0.024853,0.398073,0.364062,-0.222424,0.376803,0.36635,-0.011232,0.391808,0.363867,-0.203842,0.288763,0.50895,0.072633,0.303079,0.508726,-0.07272,0.278321,0.640534,0.113687,0.33126,0.650374,-0.063845,0.222908,0.748811,0.1789,0.337932,0.797918,-0.027199,0.205272,0.754321,0.183548,0.327548,0.824332,-0.026561,0.22902,0.804532,0.15256,0.376487,0.822267,-0.088962
