video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
Cam_Lat_1_6.20.26,0,598.0,502.0,0,596.38,499.07,0.9902,600.65,501.1,0.9907,0.32984,0.277412,-0.087727,0.329828,0.264608,-0.072561,0.329939,0.264601,-0.072746,0.330193,0.264861,-0.072655,0.327255,0.262862,-0.098989,0.325435,0.261672,-0.099228,0.323446,0.260601,-0.099308,0.322104,0.26476,0.008224,0.312178,0.258587,-0.112618,0.325332,0.288396,-0.053112,0.323071,0.287177,-0.089282,0.307591,0.330071,0.117487,0.291721,0.313272,-0.159516,0.315441,0.435715,0.154743,0.275518,0.388822,-0.244957,0.342407,0.514515,0.078334,0.312841,0.463984,-0.28794,0.349533,0.533431,0.075005,0.318028,0.493077,-0.319853,0.352241,0.533446,0.048511,0.321926,0.48703,-0.313181,0.349413,0.526843,0.065391,0.321727,0.482403,-0.285543,0.276806,0.513742,0.086264,0.283786,0.513629,-0.086438,0.241495,0.638797,0.095377,0.333077,0.615679,-0.079107,0.19252,0.761686,0.097871,0.3513,0.770412,-0.057902,0.178555,0.783321,0.094326,0.34217,0.802134,-0.058303,0.216763,0.798225,0.047855,0.38929,0.805339,-0.117186
Cam_Lat_1_6.20.26,1,593.49,498.08,0,593.49,498.08,0.9911,600.62,502.69,0.9911,0.329821,0.277374,-0.087707,0.329843,0.264628,-0.072747,0.32995,0.264602,-0.072927,0.3302,0.26485,-0.072847,0.327293,0.262878,-0.09899,0.325457,0.261652,-0.099229,0.323453,0.260406,-0.099308,0.322104,0.264421,0.004318,0.312227,0.257751,-0.112999,0.325309,0.288285,-0.053581,0.322957,0.286952,-0.089292,0.306777,0.32919,0.113637,0.291606,0.312532,-0.159656,0.3151,0.43204,0.157266,0.274315,0.388239,-0.2442,0.342216,0.509114,0.099551,0.312825,0.465451,-0.280811,0.349341,0.530751,0.099051,0.317627,0.493495,-0.309377,0.352008,0.531389,0.072611,0.321852,0.489605,-0.303768,0.34841,0.523984,0.087056,0.321635,0.485216,-0.278477,0.276301,0.512501,0.084754,0.283782,0.512616,-0.08496,0.241534,0.638798,0.056819,0.333082,0.6161,-0.067092,0.192457,0.761697,0.016652,0.351313,0.772258,-0.04859,0.178268,0.783321,0.008772,0.342663,0.802206,-0.04902,0.216808,0.799345,-0.037364,0.389464,0.805382,-0.093932
Cam_Lat_1_6.20.26,2,592.67,497.04,0,592.67,497.04,0.9914,597.56,502.24,0.9913,0.329807,0.277498,-0.067143,0.329842,0.264744,-0.056365,0.329937,0.264651,-0.056526,0.330155,0.264855,-0.056481,0.32736,0.26303,-0.081868,0.325578,0.261722,-0.082085,0.323629,0.260417,-0.082139,0.321724,0.263808,0.005497,0.312343,0.257425,-0.109793,0.325232,0.288337,-0.039527,0.322939,0.287018,-0.074109,0.305533,0.328452,0.111274,0.291294,0.311831,-0.158968,0.314856,0.430992,0.156569,0.273713,0.387282,-0.237725,0.342189,0.508863,0.099283,0.31123,0.46504,-0.268444,0.349322,0.530772,0.098134,0.315426,0.492704,-0.296475,0.352034,0.531395,0.072103,0.319965,0.489534,-0.291396,0.348336,0.524029,0.086845,0.318718,0.484105,-0.266428,0.276302,0.510153,0.083338,0.283317,0.510159,-0.083537,0.241314,0.638886,0.063134,0.333065,0.616169,-0.067487,0.192418,0.761854,0.038422,0.351604,0.772412,-0.047138,0.178244,0.783805,0.03234,0.342805,0.802203,-0.047195,0.216805,0.799877,-0.012687,0.390125,0.805746,-0.091563
Cam_Lat_1_6.20.26,3,591.2,495.25,0,591.2,495.25,0.9909,597.96,504.42,0.9915,0.329551,0.277492,-0.067179,0.329726,0.264735,-0.055026,0.329807,0.264637,-0.055181,0.329998,0.264831,-0.055132,0.327277,0.263008,-0.080447,0.325483,0.261674,-0.080667,0.323516,0.260315,-0.080718,0.321314,0.263124,0.009807,0.312136,0.256628,-0.104581,0.324846,0.288275,-0.03781,0.32256,0.286918,-0.072332,0.3025,0.327128,0.112772,0.291288,0.310763,-0.15427,0.313962,0.430907,0.158419,0.273758,0.387289,-0.232205,0.342008,0.507677,0.103396,0.311439,0.467056,-0.261316,0.349345,0.530585,0.10254,0.31548,0.495411,-0.288982,0.352437,0.531158,0.077024,0.320025,0.493084,-0.283985,0.348369,0.523678,0.091118,0.318842,0.487595,-0.259373,0.276244,0.509097,0.082989,0.283235,0.509215,-0.083194,0.241036,0.639086,0.067412,0.333017,0.616261,-0.068062,0.192332,0.762104,0.046481,0.35164,0.7726,-0.045219,0.178212,0.784241,0.040868,0.342803,0.802225,-0.044767,0.216804,0.800349,-0.002495,0.390377,0.80597,-0.087535
Cam_Lat_1_6.20.26,4,592.61,495.88,0,592.61,495.88,0.9909,598.44,505.64,0.9912,0.329474,0.277646,-0.070228,0.329679,0.264808,-0.057841,0.329744,0.264673,-0.058002,0.329908,0.264841,-0.057946,0.327215,0.263082,-0.083556,0.325424,0.261741,-0.083779,0.323459,0.260363,-0.083835,0.320756,0.262951,0.008295,0.31192,0.256582,-0.106957,0.324694,0.288312,-0.040088,0.322432,0.286948,-0.075034,0.301075,0.325634,0.111405,0.291125,0.310246,-0.157379,0.313387,0.430773,0.158282,0.273843,0.387371,-0.233864,0.341862,0.506216,0.104238,0.311688,0.468187,-0.261602,0.349345,0.529592,0.103641,0.31556,0.49711,-0.289074,0.35257,0.530127,0.078184,0.32034,0.494998,-0.28412,0.348373,0.522792,0.092039,0.318917,0.489299,-0.259566,0.276238,0.509032,0.083077,0.283234,0.509139,-0.083279,0.241012,0.639086,0.06904,0.333004,0.616306,-0.057095,0.192218,0.762291,0.056865,0.351669,0.772747,-0.026924,0.177864,0.784511,0.051795,0.342816,0.802322,-0.025746,0.216766,0.801409,0.006222,0.390476,0.80611,-0.066357
Cam_Lat_1_6.20.26,5,594.13,495.76,0,594.13,495.76,0.9906,599.29,505.84,0.9912,0.328862,0.27765,-0.069652,0.329189,0.264802,-0.057059,0.329232,0.264656,-0.057217,0.329354,0.264803,-0.057162,0.32674,0.26308,-0.082938,0.324986,0.261737,-0.083159,0.323037,0.260349,-0.083208,0.320091,0.262677,0.010772,0.311455,0.256372,-0.105646,0.32399,0.288309,-0.038884,0.321781,0.286948,-0.07405,0.298698,0.324055,0.114699,0.29109,0.309781,-0.155374,0.310247,0.429126,0.16313,0.27397,0.387404,-0.233701,0.341319,0.50482,0.112137,0.31213,0.468371,-0.260694,0.349007,0.528885,0.112277,0.315728,0.497009,-0.287606,0.35233,0.529482,0.087272,0.320686,0.495528,-0.282092,0.348141,0.522218,0.100162,0.319004,0.489079,-0.25839,0.276083,0.508991,0.083155,0.283342,0.509081,-0.083356,0.241013,0.639086,0.069415,0.332996,0.616345,-0.05497,0.192152,0.76221,0.04404,0.351717,0.773017,-0.025648,0.177667,0.784499,0.03796,0.342816,0.802352,-0.024529,0.216758,0.801683,-0.002179,0.390553,0.806403,-0.063445
Cam_Lat_1_6.20.26,6,596.11,494.53,0,596.11,494.53,0.9903,601.46,507.72,0.991,0.328592,0.277597,-0.073807,0.328877,0.264719,-0.063035,0.328888,0.264542,-0.063189,0.32897,0.264652,-0.063153,0.326447,0.263014,-0.088322,0.324706,0.261658,-0.088529,0.322823,0.260255,-0.088565,0.319802,0.262327,0.001311,0.31128,0.256126,-0.113603,0.323702,0.28816,-0.045044,0.321547,0.286842,-0.079382,0.298094,0.323587,0.105201,0.290951,0.309794,-0.160264,0.310285,0.428707,0.155867,0.275497,0.389596,-0.234274,0.341067,0.502857,0.105898,0.313259,0.470114,-0.263403,0.348996,0.528107,0.1052,0.316872,0.49935,-0.290768,0.35232,0.528968,0.079827,0.323742,0.498979,-0.285741,0.34813,0.521689,0.093703,0.320653,0.492359,-0.261321,0.276376,0.509039,0.082697,0.284363,0.509199,-0.082905,0.241124,0.639097,0.074842,0.332985,0.616811,-0.04675,0.192136,0.762084,0.052165,0.351766,0.773055,-0.013496,0.177669,0.784445,0.046885,0.343355,0.802081,-0.012134,0.217041,0.801805,0.017466,0.390653,0.806653,-0.051066
Cam_Lat_1_6.20.26,7,599.04,496.43,0,599.04,496.43,0.9912,603.03,508.24,0.9905,0.328217,0.277386,-0.074678,0.328441,0.264584,-0.063151,0.328461,0.264379,-0.063299,0.328553,0.264445,-0.063274,0.325942,0.262921,-0.088704,0.32421,0.261546,-0.088917,0.322369,0.260115,-0.088959,0.319485,0.262192,0.000502,0.310896,0.256028,-0.113752,0.323492,0.288022,-0.04551,0.321318,0.286766,-0.079607,0.298583,0.323711,0.104633,0.290722,0.309809,-0.160389,0.310464,0.428706,0.155795,0.276244,0.390208,-0.235126,0.341069,0.502569,0.107198,0.314076,0.470594,-0.264191,0.349179,0.528057,0.107055,0.317667,0.4997,-0.291688,0.352443,0.528903,0.081661,0.325221,0.499363,-0.286918,0.348261,0.521719,0.095178,0.321582,0.492834,-0.262279,0.276604,0.509425,0.082463,0.284573,0.509439,-0.082671,0.241153,0.639583,0.077501,0.332986,0.617473,-0.050513,0.192105,0.762088,0.058659,0.351855,0.773146,-0.020576,0.177701,0.78452,0.054109,0.343851,0.802021,-0.01955,0.216884,0.801782,0.026906,0.390946,0.806828,-0.060588
Cam_Lat_1_6.20.26,8,601.77,497.56,0,601.77,497.56,0.9908,603.71,515.37,0.9888,0.327862,0.277365,-0.068812,0.327947,0.264572,-0.058585,0.327876,0.264342,-0.058743,0.32788,0.264367,-0.058715,0.325661,0.262919,-0.084952,0.323987,0.261537,-0.08516,0.322182,0.260092,-0.085202,0.318585,0.261993,0.001219,0.31066,0.255951,-0.115392,0.323139,0.28798,-0.041602,0.321067,0.286743,-0.076978,0.298754,0.323844,0.105082,0.290434,0.30985,-0.165939,0.310604,0.428811,0.156587,0.276231,0.390193,-0.237398,0.341169,0.502339,0.110519,0.314433,0.477197,-0.261971,0.349502,0.527711,0.110829,0.317999,0.499636,-0.288457,0.353009,0.528546,0.085433,0.326411,0.498953,-0.283311,0.348406,0.52156,0.098485,0.322269,0.492464,-0.259763,0.276733,0.509477,0.082609,0.284894,0.50945,-0.082816,0.241295,0.639971,0.080735,0.332985,0.617765,-0.04389,0.192108,0.762037,0.063597,0.351937,0.773141,-0.006633,0.177702,0.784521,0.059251,0.344051,0.801649,-0.004885,0.217136,0.801927,0.029581,0.390998,0.807029,-0.045105
Cam_Lat_1_6.20.26,9,601.99,496.23,0,601.99,496.23,0.9912,604.31,513.8,0.9889,0.327738,0.277347,-0.063771,0.327789,0.264565,-0.054537,0.327684,0.264324,-0.054695,0.327644,0.264319,-0.054662,0.325575,0.262919,-0.080673,0.323907,0.261528,-0.080882,0.322138,0.260064,-0.080927,0.318075,0.261637,0.001739,0.31062,0.255772,-0.115206,0.322983,0.287952,-0.037737,0.321,0.28674,-0.073073,0.297978,0.323522,0.104669,0.290401,0.309841,-0.16572,0.310675,0.428606,0.157292,0.276618,0.39018,-0.237585,0.341134,0.501031,0.118723,0.314746,0.475742,-0.262126,0.349493,0.526573,0.120551,0.318448,0.499562,-0.288835,0.352948,0.527513,0.095086,0.326235,0.498796,-0.28334,0.34838,0.520586,0.106889,0.322273,0.492318,-0.259849,0.276625,0.509492,0.082615,0.285381,0.509494,-0.082821,0.241406,0.640439,0.085923,0.333017,0.618362,-0.042077,0.192144,0.762052,0.074883,0.352102,0.773299,-0.004769,0.177835,0.78461,0.07103,0.344477,0.801622,-0.003002,0.217141,0.80229,0.039514,0.391378,0.807107,-0.042082
