video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
EH_Lat_1_3.9.26,0,723.0,644.0,0,727.43,641.73,0.99,718.03,649.87,0.9986,0.404019,0.28496,-0.056488,0.397747,0.265729,-0.046854,0.396189,0.264834,-0.04706,0.394696,0.264039,-0.047004,0.397783,0.266095,-0.077104,0.396279,0.265621,-0.077397,0.394754,0.265074,-0.077484,0.382955,0.267686,0.004892,0.382636,0.269233,-0.12996,0.396749,0.300023,-0.030716,0.396459,0.299701,-0.071368,0.34849,0.346204,0.115722,0.360121,0.358245,-0.189737,0.332008,0.487381,0.158826,0.337912,0.49776,-0.234161,0.352366,0.585223,0.087038,0.373975,0.601731,-0.229546,0.352427,0.611452,0.084641,0.377317,0.638408,-0.259193,0.355698,0.613325,0.05674,0.382977,0.636741,-0.251625,0.356986,0.606853,0.073816,0.382076,0.627241,-0.225342,0.303764,0.564215,0.091134,0.323188,0.574251,-0.091372,0.276883,0.733534,0.088377,0.364213,0.737755,-0.050427,0.205723,0.878562,0.076457,0.360754,0.930053,-0.011393,0.181813,0.895436,0.071822,0.34418,0.960563,-0.009023,0.224712,0.958577,0.031008,0.40374,0.984563,-0.050288
EH_Lat_1_3.9.26,1,720.0,646.0,0,723.85,640.08,0.9899,716.17,649.69,0.9986,0.403463,0.283033,-0.056008,0.397334,0.264836,-0.045545,0.395646,0.263948,-0.045745,0.394021,0.263192,-0.04569,0.397368,0.265182,-0.075753,0.395746,0.264679,-0.076044,0.394091,0.264116,-0.076139,0.381861,0.266719,0.008594,0.381638,0.268251,-0.125921,0.396431,0.29771,-0.029972,0.39623,0.297432,-0.070551,0.348739,0.34627,0.116976,0.359495,0.35829,-0.186848,0.332024,0.487339,0.158796,0.337569,0.497546,-0.233216,0.349998,0.586768,0.086091,0.373007,0.601564,-0.229545,0.350123,0.613334,0.08359,0.376538,0.63753,-0.259313,0.353329,0.613333,0.055496,0.382294,0.636061,-0.251629,0.35456,0.606874,0.072759,0.381219,0.626356,-0.225339,0.303838,0.564862,0.09092,0.323078,0.574447,-0.091151,0.276528,0.733529,0.081734,0.364012,0.736045,-0.055633,0.205632,0.878674,0.0628,0.360754,0.9296,-0.023086,0.181604,0.895566,0.057394,0.344288,0.959092,-0.021301,0.222934,0.959022,0.012318,0.402493,0.984563,-0.064659
EH_Lat_1_3.9.26,2,718.0,643.0,0,718.94,640.67,0.9889,715.28,649.76,0.9986,0.403339,0.282951,-0.055991,0.397195,0.264837,-0.04531,0.395437,0.263948,-0.045509,0.393751,0.263193,-0.045453,0.397243,0.265183,-0.075622,0.395566,0.264681,-0.075913,0.393862,0.264118,-0.076008,0.381393,0.266742,0.009849,0.381273,0.268273,-0.12555,0.396381,0.297611,-0.029864,0.396188,0.297391,-0.070522,0.348804,0.347988,0.118255,0.358847,0.35946,-0.186863,0.331995,0.487792,0.160292,0.337389,0.4976,-0.233221,0.35035,0.588794,0.088677,0.37254,0.60163,-0.229501,0.349765,0.614644,0.086825,0.376218,0.63745,-0.259309,0.35386,0.615052,0.058318,0.381816,0.63595,-0.251567,0.354894,0.608073,0.075225,0.38062,0.62615,-0.225279,0.30361,0.565556,0.090963,0.322499,0.575064,-0.091192,0.275803,0.733538,0.080179,0.363822,0.73595,-0.057155,0.205498,0.878964,0.057095,0.360731,0.929497,-0.027721,0.181361,0.89568,0.051307,0.34426,0.958819,-0.026132,0.222608,0.959336,0.007978,0.402341,0.98456,-0.067688
EH_Lat_1_3.9.26,3,713.45,649.71,0,712.37,642.06,0.9884,713.45,649.71,0.9984,0.402364,0.282752,-0.050342,0.395735,0.264632,-0.039189,0.393849,0.263741,-0.039382,0.391996,0.262976,-0.039326,0.395886,0.26498,-0.069641,0.394158,0.264485,-0.069931,0.392349,0.263936,-0.070022,0.379698,0.266718,0.015573,0.379534,0.268264,-0.120148,0.395393,0.297434,-0.024279,0.3953,0.29721,-0.065121,0.348778,0.348134,0.12244,0.357844,0.359618,-0.182104,0.331905,0.488321,0.162893,0.336731,0.497546,-0.225341,0.350222,0.59183,0.089266,0.371591,0.601582,-0.214784,0.348187,0.61724,0.087339,0.375407,0.636962,-0.242877,0.35375,0.618009,0.058894,0.380537,0.635763,-0.234946,0.352917,0.60965,0.075786,0.379081,0.625745,-0.210354,0.303344,0.56614,0.090775,0.32181,0.575279,-0.091001,0.274483,0.73377,0.069909,0.36329,0.735314,-0.052996,0.20496,0.879694,0.034775,0.360662,0.929319,-0.025169,0.181086,0.897397,0.027654,0.34407,0.958572,-0.023924,0.222553,0.959341,-0.018175,0.402136,0.984789,-0.063295
EH_Lat_1_3.9.26,4,710.17,649.38,0,706.21,643.6,0.968,710.17,649.38,0.9983,0.401441,0.281855,-0.050596,0.394484,0.264137,-0.039643,0.392465,0.263272,-0.039839,0.390408,0.262507,-0.039783,0.394725,0.264484,-0.069694,0.392948,0.264022,-0.069981,0.391024,0.263498,-0.070071,0.377489,0.26665,0.015079,0.377299,0.268187,-0.120527,0.394522,0.296864,-0.024514,0.394513,0.296707,-0.065686,0.348088,0.348346,0.122939,0.356239,0.359994,-0.184169,0.331466,0.488943,0.162527,0.335126,0.497521,-0.229071,0.350247,0.592771,0.080844,0.369879,0.601281,-0.215608,0.347411,0.618327,0.07732,0.374119,0.635956,-0.243841,0.353774,0.619161,0.048934,0.379027,0.634831,-0.236108,0.353001,0.610695,0.066929,0.377592,0.623547,-0.211277,0.302185,0.566558,0.091297,0.320772,0.575596,-0.091517,0.272913,0.734046,0.071523,0.362864,0.734706,-0.051738,0.204154,0.881013,0.042536,0.360652,0.928592,-0.017496,0.180491,0.899798,0.036491,0.344027,0.957315,-0.015705,0.222616,0.959342,-0.006147,0.402065,0.984974,-0.056351
EH_Lat_1_3.9.26,5,707.1,648.99,0,704.06,643.75,0.991,707.1,648.99,0.9981,0.400514,0.281568,-0.0509,0.393521,0.263946,-0.039661,0.391443,0.263137,-0.039854,0.389314,0.26242,-0.039796,0.393667,0.264242,-0.070119,0.391797,0.263806,-0.070406,0.389778,0.263321,-0.070495,0.375965,0.266672,0.016743,0.375605,0.268188,-0.121193,0.39349,0.296825,-0.024545,0.393455,0.296693,-0.065977,0.346384,0.349341,0.124714,0.354803,0.361612,-0.184382,0.328646,0.4891,0.162883,0.333192,0.49752,-0.229002,0.345081,0.592802,0.081313,0.368282,0.600912,-0.21623,0.344264,0.618611,0.077892,0.372775,0.634454,-0.244708,0.34876,0.61981,0.049663,0.377248,0.633608,-0.237072,0.34937,0.610801,0.067502,0.375657,0.621573,-0.211917,0.300473,0.566822,0.091473,0.319661,0.575981,-0.091689,0.27153,0.734518,0.071911,0.36233,0.734548,-0.050859,0.203047,0.882485,0.048781,0.360604,0.928147,-0.016883,0.179701,0.902088,0.043235,0.343977,0.956646,-0.015146,0.222631,0.959343,0.000783,0.40193,0.984877,-0.055614
EH_Lat_1_3.9.26,6,701.55,647.58,0,698.51,641.25,0.9917,701.55,647.58,0.9981,0.398149,0.281614,-0.055723,0.390933,0.263985,-0.044071,0.388712,0.263193,-0.044262,0.386367,0.262482,-0.0442,0.391176,0.264265,-0.075325,0.38924,0.26383,-0.075614,0.387047,0.263338,-0.075711,0.372699,0.266875,0.014198,0.37218,0.268254,-0.126797,0.391003,0.296947,-0.028579,0.391018,0.29681,-0.070845,0.3452,0.349651,0.124478,0.352011,0.362961,-0.190492,0.327684,0.489616,0.161408,0.329835,0.49767,-0.234753,0.342193,0.592929,0.0795,0.365391,0.599612,-0.222513,0.342602,0.61885,0.076159,0.370391,0.631458,-0.252248,0.346392,0.619697,0.048042,0.375341,0.631248,-0.243146,0.347083,0.610869,0.065747,0.373224,0.618925,-0.21768,0.299256,0.568024,0.092155,0.317456,0.576903,-0.092358,0.269749,0.735209,0.087156,0.362136,0.734829,-0.050679,0.20148,0.883762,0.075358,0.360572,0.927923,-0.015139,0.178434,0.903471,0.070843,0.343942,0.956349,-0.012961,0.22256,0.959315,0.029696,0.401744,0.984854,-0.052948
EH_Lat_1_3.9.26,7,697.2,646.72,0,696.02,643.21,0.992,697.2,646.72,0.9979,0.393475,0.284181,-0.055637,0.386779,0.267245,-0.04382,0.384637,0.266369,-0.044008,0.382485,0.265534,-0.043947,0.387052,0.267524,-0.075273,0.385171,0.267014,-0.075562,0.383119,0.266435,-0.075659,0.369644,0.269494,0.014778,0.369032,0.270999,-0.126839,0.385684,0.29928,-0.028322,0.38576,0.299022,-0.070824,0.341949,0.35027,0.127301,0.34955,0.364992,-0.192675,0.323298,0.490156,0.165202,0.327347,0.498238,-0.240095,0.338887,0.592799,0.081107,0.363126,0.598816,-0.225849,0.340188,0.619055,0.077394,0.368083,0.630285,-0.255106,0.343531,0.619593,0.04979,0.373147,0.63012,-0.246137,0.343984,0.610971,0.06726,0.371066,0.617844,-0.220887,0.297595,0.56924,0.094818,0.316173,0.578154,-0.095017,0.268153,0.73677,0.092666,0.362071,0.734892,-0.055812,0.200153,0.885496,0.081172,0.36055,0.927921,-0.023595,0.176987,0.905442,0.076641,0.34392,0.956361,-0.021637,0.222453,0.959316,0.037137,0.401713,0.984817,-0.061068
EH_Lat_1_3.9.26,8,693.48,646.13,0,690.81,642.63,0.9924,693.48,646.13,0.9978,0.390695,0.285201,-0.054307,0.383636,0.268801,-0.042233,0.381502,0.267857,-0.042414,0.379406,0.266925,-0.042351,0.383924,0.269137,-0.073919,0.382123,0.268624,-0.074207,0.380242,0.267995,-0.074297,0.367249,0.27099,0.016288,0.367274,0.272488,-0.12596,0.382739,0.300087,-0.026865,0.383001,0.299869,-0.069629,0.339772,0.350863,0.130105,0.347264,0.367319,-0.192107,0.32247,0.491461,0.1721,0.325026,0.499174,-0.239863,0.336265,0.604811,0.093315,0.361187,0.598273,-0.225748,0.338452,0.627471,0.090303,0.366439,0.62929,-0.255039,0.343046,0.626393,0.062657,0.371506,0.629108,-0.246208,0.343008,0.617747,0.079573,0.369122,0.616868,-0.22085,0.295034,0.571317,0.095508,0.31419,0.58027,-0.095707,0.265745,0.740212,0.093781,0.362004,0.734921,-0.055551,0.197751,0.888374,0.081584,0.360541,0.927926,-0.02257,0.174295,0.909966,0.076906,0.343936,0.956384,-0.020564,0.222476,0.959374,0.038484,0.401671,0.984613,-0.060763
EH_Lat_1_3.9.26,9,692.41,645.96,0,689.47,643.07,0.9926,692.41,645.96,0.9977,0.388875,0.285839,-0.053058,0.381489,0.269465,-0.040715,0.379408,0.268662,-0.040894,0.377366,0.267874,-0.040829,0.381611,0.269738,-0.072415,0.379758,0.269302,-0.072704,0.377806,0.268786,-0.072795,0.365041,0.272709,0.018225,0.364588,0.27402,-0.123683,0.381117,0.301028,-0.025486,0.381231,0.300917,-0.068202,0.338668,0.352036,0.131245,0.345237,0.370446,-0.190768,0.321316,0.493195,0.171791,0.322755,0.501303,-0.239688,0.334566,0.610263,0.081019,0.360628,0.598116,-0.226034,0.336724,0.631234,0.076416,0.365845,0.628109,-0.255673,0.341827,0.629138,0.048821,0.371029,0.627454,-0.24647,0.341603,0.62076,0.067026,0.368588,0.61642,-0.221056,0.293224,0.573672,0.095634,0.312028,0.582585,-0.095832,0.26414,0.74201,0.089963,0.362038,0.734772,-0.056445,0.195461,0.891828,0.06109,0.360619,0.928003,-0.030646,0.171798,0.914858,0.054507,0.343954,0.956568,-0.029481,0.222262,0.959462,0.013426,0.401672,0.984624,-0.068719
