video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
Camryn_Lateral1_4.12.26,0,413.61,481.38,0,413.61,481.38,0.9919,411.09,471.32,0.9916,0.217878,0.221858,-0.024539,0.216492,0.208721,-0.011106,0.216864,0.2092,-0.011291,0.217406,0.209779,-0.011219,0.212341,0.205912,-0.035517,0.209801,0.204687,-0.035809,0.2069,0.203647,-0.035909,0.209776,0.214044,0.055974,0.1968,0.206413,-0.055095,0.215741,0.236104,0.005503,0.211295,0.234435,-0.028042,0.198213,0.293238,0.157603,0.183464,0.270282,-0.10889,0.19844,0.383518,0.245772,0.167052,0.362221,-0.18871,0.220252,0.456431,0.249647,0.214108,0.436409,-0.230173,0.2249,0.474135,0.257183,0.2213,0.462364,-0.256901,0.225745,0.471025,0.2338,0.227599,0.45848,-0.250557,0.226082,0.466556,0.239937,0.225101,0.449752,-0.227378,0.192498,0.499775,0.081673,0.200579,0.495057,-0.081936,0.158924,0.658517,0.038532,0.252076,0.624005,-0.078389,0.092265,0.787103,-0.011946,0.282044,0.797015,-0.07527,0.071175,0.806025,-0.019382,0.272773,0.838271,-0.076727,0.11476,0.841813,-0.051948,0.330816,0.83036,-0.122706
Camryn_Lateral1_4.12.26,1,414.85,483.36,0,414.85,483.36,0.9879,411.15,476.23,0.9914,0.217878,0.222809,-0.015239,0.21647,0.209961,-0.005192,0.216729,0.210311,-0.005366,0.217091,0.210798,-0.005332,0.212515,0.20753,-0.028794,0.210038,0.206263,-0.029086,0.207286,0.205226,-0.029175,0.209342,0.214331,0.055667,0.197032,0.207488,-0.054428,0.215137,0.23624,0.011742,0.211248,0.234627,-0.020786,0.196149,0.291273,0.152171,0.18286,0.270888,-0.105025,0.191895,0.38169,0.242048,0.167042,0.362537,-0.185341,0.221348,0.417744,0.251614,0.214139,0.440955,-0.229473,0.225747,0.430071,0.259637,0.221685,0.466663,-0.25506,0.228557,0.426903,0.237202,0.227648,0.461548,-0.249618,0.22774,0.42467,0.242382,0.225294,0.454241,-0.227023,0.191035,0.4988,0.078338,0.200664,0.494267,-0.078592,0.158859,0.65906,0.042325,0.252126,0.62459,-0.07343,0.092399,0.787042,-0.00321,0.28206,0.797152,-0.075073,0.071193,0.805907,-0.010022,0.272788,0.83735,-0.076476,0.11417,0.842283,-0.035837,0.330602,0.830243,-0.116086
Camryn_Lateral1_4.12.26,2,411.18,477.49,0,415.99,483.18,0.9885,411.18,477.49,0.9916,0.218028,0.222975,-0.00775,0.21647,0.210299,0.001966,0.216686,0.210577,0.001807,0.216955,0.21101,0.001863,0.212843,0.208135,-0.022402,0.210481,0.20686,-0.022675,0.207943,0.20575,-0.022755,0.208969,0.214309,0.059303,0.197134,0.207597,-0.0521,0.215122,0.23626,0.018838,0.211461,0.234632,-0.014551,0.195531,0.29075,0.151801,0.182733,0.27089,-0.104929,0.186758,0.386701,0.181761,0.167244,0.362552,-0.185393,0.21143,0.461533,0.112268,0.214158,0.442123,-0.227665,0.21413,0.473823,0.105486,0.221951,0.466865,-0.254363,0.220013,0.467869,0.084806,0.227728,0.461766,-0.248777,0.218149,0.471436,0.101291,0.225431,0.454825,-0.225164,0.189915,0.498334,0.077715,0.200577,0.493276,-0.07795,0.158827,0.659062,0.058764,0.252148,0.624852,-0.069763,0.092242,0.787043,0.056772,0.28202,0.797583,-0.075073,0.071162,0.805921,0.054245,0.27277,0.836961,-0.076586,0.114172,0.841968,0.031409,0.330123,0.829803,-0.118327
Camryn_Lateral1_4.12.26,3,411.54,477.98,0,415.42,482.67,0.9883,411.54,477.98,0.9913,0.21865,0.222982,0.007315,0.216726,0.210347,0.016904,0.216776,0.210596,0.01675,0.216968,0.211013,0.016807,0.213645,0.208299,-0.008434,0.211388,0.207014,-0.008697,0.208994,0.205862,-0.008771,0.20873,0.213991,0.070109,0.197502,0.20757,-0.045079,0.215183,0.236226,0.032646,0.211991,0.234563,-0.002001,0.194532,0.289959,0.154045,0.182721,0.270891,-0.1037,0.184993,0.391484,0.183632,0.167821,0.362553,-0.186679,0.209262,0.480967,0.11592,0.214344,0.44257,-0.229891,0.213439,0.490221,0.110287,0.222432,0.466849,-0.257902,0.217476,0.487564,0.088834,0.227856,0.461945,-0.251776,0.216605,0.491233,0.104684,0.225704,0.455334,-0.227346,0.188954,0.497729,0.077658,0.20074,0.492089,-0.077889,0.158378,0.659048,0.058215,0.252135,0.624854,-0.069021,0.091795,0.787147,0.041666,0.281975,0.79754,-0.075582,0.070997,0.806047,0.037245,0.272763,0.835934,-0.077513,0.113842,0.841968,0.010484,0.329051,0.829801,-0.120624
Camryn_Lateral1_4.12.26,4,412.11,478.4,0,415.5,482.7,0.9892,412.11,478.4,0.9901,0.220047,0.223065,0.005798,0.217837,0.210526,0.015349,0.217533,0.210692,0.015193,0.217416,0.211043,0.015246,0.215422,0.208712,-0.010715,0.2133,0.207451,-0.01098,0.21111,0.206206,-0.011058,0.208693,0.213676,0.069384,0.198548,0.207566,-0.045459,0.215886,0.236222,0.03164,0.213434,0.234562,-0.003961,0.194275,0.289352,0.154551,0.182717,0.271034,-0.107706,0.185898,0.391173,0.184153,0.168886,0.362856,-0.196538,0.210012,0.476009,0.113041,0.214642,0.442963,-0.240197,0.213022,0.486959,0.106915,0.222979,0.466859,-0.269536,0.217941,0.484153,0.084677,0.228128,0.46213,-0.263473,0.217441,0.485719,0.101269,0.226116,0.455598,-0.237834,0.188342,0.497407,0.078376,0.200878,0.491446,-0.078595,0.158228,0.65884,0.055527,0.252094,0.624825,-0.071882,0.091282,0.787151,0.032448,0.281975,0.797515,-0.086653,0.070752,0.806038,0.02747,0.27287,0.834591,-0.089694,0.113164,0.841778,-0.003159,0.32785,0.829081,-0.13982
Camryn_Lateral1_4.12.26,5,416.21,482.77,0,418.92,481.87,0.99,416.21,482.77,0.988,0.221498,0.223253,0.00271,0.219138,0.210828,0.011812,0.218606,0.21091,0.011647,0.218258,0.211182,0.01169,0.216996,0.209176,-0.013874,0.214893,0.207911,-0.014147,0.21276,0.206586,-0.014235,0.208747,0.213609,0.067822,0.199646,0.207578,-0.05016,0.216763,0.236249,0.028246,0.214624,0.234582,-0.006895,0.193806,0.289124,0.151657,0.182782,0.271835,-0.10993,0.186158,0.390815,0.193551,0.171253,0.363836,-0.195714,0.210629,0.464345,0.166541,0.216777,0.447005,-0.231244,0.214286,0.474573,0.172263,0.225683,0.469939,-0.256558,0.218363,0.472876,0.150696,0.229867,0.464854,-0.2511,0.218186,0.469412,0.156688,0.227686,0.459949,-0.228853,0.187508,0.497384,0.078346,0.200642,0.491231,-0.078565,0.158095,0.65868,0.054547,0.252062,0.624831,-0.071654,0.090786,0.787142,0.025898,0.281929,0.797393,-0.085408,0.070381,0.806007,0.020584,0.27287,0.833487,-0.088227,0.113161,0.841171,-0.005622,0.327386,0.829014,-0.135305
Camryn_Lateral1_4.12.26,6,426.42,482.37,0,426.42,482.37,0.9903,421.2,485.99,0.988,0.222417,0.223622,0.000355,0.220154,0.211205,0.009103,0.219532,0.211168,0.008934,0.219069,0.21133,0.00898,0.218182,0.2097,-0.016278,0.216113,0.208352,-0.016555,0.21405,0.206901,-0.016645,0.209044,0.21356,0.057917,0.200771,0.207577,-0.058789,0.21749,0.236282,0.025635,0.215529,0.234613,-0.009132,0.19341,0.288359,0.1444,0.183076,0.272022,-0.11206,0.186337,0.389872,0.217981,0.173596,0.365769,-0.185655,0.210721,0.436752,0.255494,0.219377,0.44999,-0.203323,0.214415,0.441152,0.268443,0.227669,0.473003,-0.224993,0.218758,0.430939,0.245368,0.231823,0.467811,-0.219306,0.219166,0.43531,0.246806,0.230098,0.464031,-0.200613,0.187071,0.496237,0.077935,0.200618,0.490137,-0.078155,0.157805,0.658647,0.056456,0.252176,0.625113,-0.067452,0.09061,0.787112,0.023749,0.281911,0.797396,-0.067136,0.070223,0.806006,0.018324,0.272614,0.833447,-0.067348,0.11292,0.841108,-0.004501,0.327454,0.828968,-0.098867
Camryn_Lateral1_4.12.26,7,434.92,484.43,0,434.92,484.43,0.9903,427.92,489.62,0.9874,0.223706,0.22383,0.002138,0.221518,0.211371,0.008803,0.22073,0.211229,0.008632,0.22008,0.211333,0.008656,0.21992,0.210049,-0.016739,0.217907,0.208671,-0.017021,0.215938,0.207142,-0.017114,0.209267,0.213033,0.052928,0.202299,0.207519,-0.064612,0.218507,0.236259,0.025267,0.216852,0.234613,-0.009646,0.192989,0.286661,0.141185,0.183709,0.272121,-0.115693,0.186932,0.388332,0.240383,0.177019,0.367734,-0.183993,0.211092,0.413337,0.293486,0.222877,0.45335,-0.197002,0.21973,0.409065,0.308667,0.23099,0.473802,-0.216678,0.223209,0.406286,0.286284,0.235182,0.468447,-0.211319,0.222329,0.407808,0.285367,0.232568,0.464966,-0.194139,0.186443,0.494955,0.077515,0.200603,0.488555,-0.077743,0.157421,0.65789,0.050054,0.252148,0.624731,-0.067095,0.090584,0.786164,-0.006092,0.28177,0.796879,-0.065734,0.070206,0.80589,-0.0136,0.272386,0.832306,-0.065863,0.112486,0.839892,-0.033136,0.326908,0.827863,-0.094236
Camryn_Lateral1_4.12.26,8,441.98,487.81,0,441.98,487.81,0.9911,435.39,491.54,0.9872,0.225142,0.223902,-0.000385,0.223058,0.211407,0.007927,0.222155,0.21123,0.007755,0.221332,0.211312,0.007808,0.221863,0.210127,-0.017129,0.219911,0.208728,-0.017412,0.217874,0.207178,-0.017508,0.209787,0.212161,0.046511,0.203684,0.20726,-0.07057,0.219766,0.236209,0.024328,0.218203,0.234595,-0.010073,0.192845,0.284181,0.136399,0.184942,0.272119,-0.119817,0.187204,0.386296,0.246712,0.180592,0.369861,-0.183742,0.213876,0.405611,0.302075,0.226768,0.455133,-0.193726,0.222298,0.408484,0.317703,0.234849,0.474642,-0.212276,0.226117,0.40053,0.294698,0.238875,0.46906,-0.208049,0.224534,0.400991,0.293747,0.236187,0.465801,-0.191166,0.185402,0.49359,0.077054,0.20075,0.487889,-0.07729,0.156655,0.657222,0.047585,0.252113,0.624322,-0.064125,0.090345,0.785493,-0.012979,0.281692,0.795802,-0.059747,0.070196,0.805589,-0.020755,0.272317,0.83099,-0.059549,0.112038,0.83879,-0.041219,0.326616,0.827568,-0.086036
Camryn_Lateral1_4.12.26,9,445.11,489.38,0,445.11,489.38,0.9833,439.09,492.14,0.9867,0.226424,0.223913,-0.001842,0.224313,0.211396,0.007363,0.223334,0.211171,0.007193,0.222422,0.211165,0.007268,0.22321,0.210111,-0.017182,0.221225,0.208723,-0.017465,0.219176,0.207149,-0.017555,0.210399,0.211176,0.043363,0.205238,0.206797,-0.073842,0.220765,0.236064,0.023843,0.219365,0.234492,-0.010286,0.191821,0.283063,0.132853,0.186369,0.272117,-0.122517,0.187334,0.383779,0.250932,0.183564,0.370796,-0.183885,0.214209,0.407252,0.314514,0.228692,0.455688,-0.192076,0.222976,0.401117,0.331708,0.236218,0.475159,-0.210012,0.226092,0.399519,0.309207,0.240241,0.470442,-0.205876,0.224508,0.399186,0.306679,0.237547,0.466566,-0.189446,0.184588,0.4936,0.076216,0.201253,0.487959,-0.076456,0.155895,0.656426,0.04316,0.251932,0.623889,-0.061112,0.089984,0.785254,-0.021499,0.281304,0.79458,-0.053132,0.070135,0.805444,-0.029577,0.272226,0.829435,-0.052554,0.111496,0.837539,-0.051055,0.32529,0.826191,-0.07752
