video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
HA_Lat_15_6.13.26,0,508.56,568.78,0,507.86,562.19,0.9881,508.56,568.78,0.9971,0.313109,0.333856,-0.091416,0.309057,0.320731,-0.081677,0.308217,0.320261,-0.081827,0.307493,0.319847,-0.08177,0.307947,0.320583,-0.107318,0.306307,0.320084,-0.107546,0.304623,0.319505,-0.107647,0.299039,0.322604,-0.028495,0.295134,0.321865,-0.14348,0.308648,0.345628,-0.067138,0.307508,0.345025,-0.101491,0.280909,0.384371,0.067329,0.268644,0.376219,-0.186322,0.263515,0.465382,0.089645,0.235157,0.46084,-0.213929,0.278583,0.509483,0.002124,0.264877,0.526648,-0.202078,0.279562,0.532251,-0.00574,0.26934,0.545503,-0.226595,0.282675,0.528268,-0.028092,0.27447,0.538285,-0.219677,0.282675,0.52334,-0.009788,0.273125,0.531627,-0.197953,0.228187,0.539976,0.078513,0.231248,0.541806,-0.078619,0.191722,0.655928,0.095992,0.271157,0.649097,-0.030108,0.136765,0.75015,0.098678,0.273534,0.788413,0.023408,0.123582,0.748783,0.095906,0.264937,0.807218,0.027494,0.132814,0.801232,0.055841,0.305477,0.818981,-0.009278
HA_Lat_15_6.13.26,1,508.34,568.82,0,508.52,562.57,0.988,508.34,568.82,0.9965,0.313486,0.334635,-0.064018,0.310486,0.321606,-0.053601,0.309736,0.320993,-0.053747,0.309034,0.320436,-0.05369,0.309574,0.321553,-0.079614,0.308211,0.320922,-0.079845,0.306873,0.320214,-0.07995,0.300169,0.322653,-0.00269,0.297325,0.322187,-0.119028,0.309117,0.346077,-0.040867,0.308226,0.345536,-0.075672,0.280444,0.38238,0.086193,0.270418,0.376284,-0.167569,0.259402,0.463814,0.105293,0.235444,0.460099,-0.19359,0.275109,0.509485,0.020042,0.264761,0.526682,-0.164598,0.278562,0.532534,0.014551,0.26931,0.545886,-0.184782,0.282226,0.528354,-0.007122,0.274521,0.538349,-0.176111,0.281774,0.524269,0.008476,0.273139,0.531756,-0.159398,0.226744,0.537984,0.078512,0.231357,0.540878,-0.078618,0.192368,0.656032,0.096207,0.271204,0.649045,-0.045293,0.137216,0.749736,0.098812,0.273839,0.788316,0.000486,0.123551,0.747119,0.096235,0.264911,0.807364,0.004881,0.13328,0.801278,0.064225,0.305493,0.819018,-0.018337
HA_Lat_15_6.13.26,2,508.25,568.81,0,507.42,565.21,0.9875,508.25,568.81,0.9963,0.314385,0.335443,-0.058169,0.311472,0.322953,-0.047545,0.310658,0.322286,-0.047695,0.309864,0.321675,-0.047635,0.31072,0.323003,-0.073249,0.30943,0.322389,-0.073488,0.308156,0.321701,-0.073598,0.300688,0.323908,0.003039,0.298539,0.323738,-0.111706,0.310199,0.346649,-0.035421,0.309453,0.346231,-0.069778,0.280694,0.38249,0.090055,0.272127,0.376657,-0.160918,0.258908,0.463896,0.109575,0.235933,0.459954,-0.183833,0.274021,0.511829,0.024193,0.264716,0.526674,-0.156391,0.277686,0.53349,0.019142,0.269207,0.545849,-0.176361,0.281722,0.528574,-0.002948,0.274605,0.538304,-0.168317,0.281042,0.52433,0.012537,0.273194,0.531746,-0.151487,0.226874,0.537862,0.078197,0.231259,0.540272,-0.078304,0.192512,0.656039,0.089675,0.271204,0.649178,-0.054608,0.13736,0.748287,0.085801,0.273874,0.78844,-0.015151,0.12355,0.742923,0.083039,0.264949,0.807536,-0.010969,0.133381,0.801341,0.053798,0.30565,0.819291,-0.032121
HA_Lat_15_6.13.26,3,508.31,568.77,0,507.39,565.36,0.9879,508.31,568.77,0.9964,0.315817,0.338263,-0.059752,0.313345,0.326286,-0.048527,0.312592,0.32564,-0.04867,0.311848,0.325025,-0.048608,0.312542,0.326091,-0.074501,0.311285,0.325333,-0.074743,0.310027,0.324505,-0.074852,0.302695,0.326306,0.004057,0.300392,0.326195,-0.111886,0.311668,0.348849,-0.036341,0.310948,0.348403,-0.070993,0.281245,0.382656,0.095198,0.274264,0.378498,-0.161693,0.259209,0.463597,0.133289,0.236558,0.459879,-0.187073,0.274921,0.510196,0.069644,0.264747,0.526641,-0.161368,0.278227,0.531746,0.069049,0.269309,0.54579,-0.181342,0.2826,0.528253,0.045993,0.275111,0.538293,-0.172269,0.281543,0.523888,0.058208,0.273613,0.531744,-0.155981,0.226909,0.537665,0.078173,0.231262,0.539943,-0.078282,0.192925,0.656004,0.080685,0.271058,0.649526,-0.052103,0.137553,0.747306,0.069385,0.273848,0.788554,-0.013805,0.123671,0.742229,0.066004,0.264939,0.807556,-0.009824,0.133438,0.801285,0.033077,0.305664,0.819507,-0.03327
HA_Lat_15_6.13.26,4,508.29,568.71,0,506.66,565.75,0.9882,508.29,568.71,0.9966,0.316759,0.339313,-0.061922,0.31424,0.327324,-0.051359,0.313364,0.326642,-0.051506,0.312521,0.325997,-0.051446,0.313593,0.327122,-0.076547,0.312284,0.326312,-0.076795,0.310947,0.32542,-0.076908,0.303422,0.32686,-0.000207,0.301139,0.327016,-0.112726,0.312327,0.349339,-0.038869,0.311723,0.348937,-0.072543,0.281537,0.381093,0.092508,0.275752,0.37928,-0.16055,0.260308,0.45753,0.146953,0.237426,0.45986,-0.184143,0.27549,0.499739,0.10479,0.264733,0.526587,-0.158738,0.278299,0.515301,0.107307,0.269274,0.545802,-0.177629,0.282677,0.513484,0.085054,0.27516,0.538285,-0.168893,0.28163,0.509296,0.094463,0.273633,0.53172,-0.153344,0.226965,0.537048,0.077205,0.231347,0.539464,-0.077327,0.193406,0.655938,0.07907,0.270848,0.64993,-0.048771,0.137693,0.745378,0.073644,0.273819,0.789008,-0.008641,0.12368,0.740172,0.070918,0.264978,0.807574,-0.004506,0.133712,0.801037,0.038064,0.30577,0.819535,-0.029124
HA_Lat_15_6.13.26,5,507.85,568.75,0,506.42,566.71,0.988,507.85,568.75,0.9968,0.318187,0.341942,-0.066045,0.315557,0.329795,-0.055362,0.314701,0.329064,-0.055511,0.313882,0.328404,-0.055451,0.314777,0.329438,-0.08036,0.313387,0.328502,-0.080606,0.311937,0.327531,-0.080718,0.304574,0.329376,-0.003092,0.301899,0.329034,-0.114057,0.313673,0.351553,-0.042646,0.312892,0.351051,-0.076116,0.282848,0.381412,0.091128,0.277195,0.381132,-0.161039,0.26012,0.457948,0.152531,0.238027,0.459847,-0.186391,0.275138,0.500466,0.117104,0.264507,0.526621,-0.166253,0.277238,0.517682,0.120487,0.269125,0.54591,-0.186627,0.28155,0.515328,0.096866,0.275149,0.538345,-0.177973,0.280517,0.511108,0.106458,0.273624,0.531788,-0.161105,0.227,0.53651,0.077122,0.231326,0.538542,-0.077245,0.19429,0.655707,0.077347,0.270396,0.650171,-0.050152,0.137819,0.743461,0.068977,0.273801,0.78914,-0.012833,0.123719,0.739049,0.065973,0.264932,0.807551,-0.008783,0.134154,0.801043,0.032352,0.305849,0.820005,-0.033903
HA_Lat_15_6.13.26,6,507.86,569.73,0,506.22,568.85,0.9884,507.86,569.73,0.9969,0.320756,0.343589,-0.067178,0.317323,0.33085,-0.056301,0.316405,0.330128,-0.056457,0.315541,0.329522,-0.056399,0.316606,0.330402,-0.081088,0.31516,0.329409,-0.081334,0.31359,0.328378,-0.081444,0.306141,0.330852,-0.004046,0.303496,0.329916,-0.114076,0.316072,0.353158,-0.043932,0.315233,0.35267,-0.077097,0.285686,0.383543,0.088686,0.277961,0.382077,-0.161991,0.260761,0.458927,0.134243,0.2381,0.459931,-0.188434,0.275574,0.504584,0.07339,0.264512,0.527529,-0.170766,0.278237,0.519963,0.070955,0.26914,0.546859,-0.191994,0.282953,0.515982,0.04856,0.275259,0.539131,-0.183742,0.281703,0.511207,0.062271,0.273759,0.532539,-0.165883,0.227245,0.536103,0.076876,0.231126,0.536884,-0.076994,0.19471,0.655678,0.074643,0.270047,0.65044,-0.049165,0.138122,0.741704,0.061034,0.2737,0.789281,-0.014353,0.123759,0.737917,0.057148,0.264768,0.807755,-0.010752,0.13512,0.800995,0.021267,0.306069,0.819998,-0.036193
HA_Lat_15_6.13.26,7,508.35,569.98,0,506.66,568.47,0.9895,508.35,569.98,0.9969,0.322314,0.346833,-0.055392,0.318889,0.333587,-0.044952,0.317942,0.33288,-0.045109,0.317031,0.332244,-0.045041,0.31827,0.333111,-0.069296,0.316781,0.332101,-0.069538,0.315019,0.330944,-0.069641,0.307405,0.333222,0.004406,0.304561,0.332031,-0.103661,0.317522,0.356209,-0.033161,0.316565,0.355602,-0.065631,0.286628,0.38544,0.091817,0.278482,0.383092,-0.151879,0.258497,0.462237,0.126907,0.238635,0.460174,-0.175704,0.253392,0.520889,0.068688,0.264765,0.527762,-0.154326,0.250275,0.534757,0.066839,0.26938,0.546957,-0.174306,0.25504,0.542463,0.039281,0.275521,0.539402,-0.165314,0.256079,0.535542,0.054912,0.273996,0.532838,-0.148967,0.227478,0.53612,0.075474,0.231046,0.536307,-0.075594,0.195418,0.655773,0.069842,0.269659,0.651138,-0.047716,0.138215,0.740821,0.055003,0.273715,0.789461,-0.008847,0.123746,0.736174,0.051234,0.264745,0.808628,-0.005201,0.136337,0.801033,0.018866,0.306019,0.820004,-0.02862
HA_Lat_15_6.13.26,8,509.72,570.02,0,507.63,569.01,0.9898,509.72,570.02,0.9968,0.323675,0.349734,-0.058437,0.320165,0.336193,-0.047712,0.319259,0.335471,-0.047868,0.318405,0.334794,-0.047799,0.319402,0.335649,-0.072419,0.317861,0.334607,-0.072664,0.316071,0.333344,-0.07277,0.309128,0.335327,0.002772,0.306039,0.334036,-0.106886,0.31898,0.358791,-0.035795,0.31774,0.358207,-0.068728,0.287116,0.389019,0.091433,0.279849,0.384325,-0.155522,0.258561,0.463441,0.126262,0.239147,0.460544,-0.179979,0.259054,0.51973,0.037977,0.265478,0.527795,-0.158525,0.257121,0.534799,0.032063,0.270718,0.546962,-0.179051,0.260835,0.540901,0.008762,0.276888,0.539343,-0.17025,0.261658,0.534377,0.025529,0.275087,0.532729,-0.153299,0.227501,0.535987,0.075348,0.231047,0.535938,-0.075468,0.195736,0.655845,0.06928,0.269228,0.651557,-0.046422,0.138406,0.740797,0.056592,0.273745,0.78963,-0.008402,0.123778,0.736055,0.052856,0.264744,0.809217,-0.004722,0.13666,0.801042,0.018596,0.306022,0.820047,-0.028514
HA_Lat_15_6.13.26,9,509.72,570.95,0,507.78,569.37,0.9889,509.72,570.95,0.9969,0.324113,0.349198,-0.060958,0.320467,0.335628,-0.050512,0.319556,0.335004,-0.050666,0.318718,0.334445,-0.050602,0.319752,0.33514,-0.074933,0.318231,0.334237,-0.075177,0.316536,0.333183,-0.075283,0.309561,0.335637,-0.000113,0.306293,0.334915,-0.108645,0.31961,0.358856,-0.038348,0.318529,0.358194,-0.070941,0.288008,0.390079,0.089593,0.280515,0.385548,-0.156047,0.258602,0.464346,0.124571,0.239542,0.460682,-0.178754,0.260687,0.518911,0.037654,0.265479,0.528653,-0.15982,0.260871,0.53539,0.031557,0.270742,0.547613,-0.180733,0.263951,0.539579,0.008637,0.276891,0.540151,-0.172223,0.264579,0.533393,0.025412,0.275107,0.533477,-0.154835,0.227479,0.535696,0.075051,0.230873,0.535509,-0.075161,0.196366,0.656563,0.073125,0.2687,0.651743,-0.046682,0.138558,0.740711,0.064516,0.273847,0.789725,-0.007895,0.123785,0.735152,0.061123,0.264877,0.809489,-0.003789,0.137253,0.801063,0.025835,0.306534,0.820045,-0.027347
