video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
KG_Lat_1_6.18.26,0,620.0,341.0,0,614.5,333.22,0.9888,625.82,344.58,0.8444,0.356412,0.130675,-0.059618,0.351396,0.116809,-0.050736,0.350699,0.116746,-0.050921,0.350119,0.116806,-0.05085,0.350826,0.116413,-0.077902,0.349711,0.116017,-0.078131,0.348662,0.115612,-0.078235,0.341692,0.121362,0.002696,0.339215,0.120433,-0.121545,0.352783,0.142542,-0.03425,0.352196,0.141278,-0.071584,0.327529,0.191291,0.097459,0.31549,0.177431,-0.174324,0.310557,0.26426,0.148524,0.284743,0.25135,-0.24602,0.337009,0.323235,0.105903,0.32595,0.319056,-0.266696,0.346275,0.342783,0.105462,0.331711,0.34444,-0.296346,0.346093,0.335042,0.081563,0.336966,0.332304,-0.285846,0.345976,0.327297,0.094835,0.336005,0.324335,-0.262816,0.324236,0.385985,0.091129,0.324624,0.387729,-0.091227,0.310565,0.507018,0.187039,0.356549,0.523302,-0.061752,0.291752,0.631967,0.273232,0.365837,0.667226,-0.044123,0.282536,0.655215,0.277833,0.3589,0.69122,-0.044993,0.321582,0.653862,0.243676,0.396113,0.673159,-0.113475
KG_Lat_1_6.18.26,1,620.0,341.0,0,614.75,334.23,0.9883,622.34,343.73,0.858,0.355884,0.130991,-0.055789,0.351397,0.117154,-0.047958,0.350733,0.117132,-0.048127,0.350234,0.117209,-0.048062,0.350738,0.116824,-0.071528,0.349563,0.116485,-0.071762,0.348415,0.116122,-0.071863,0.342029,0.121706,0.002696,0.338704,0.120629,-0.105249,0.352607,0.14294,-0.032076,0.351637,0.141734,-0.064494,0.330848,0.191604,0.088746,0.315004,0.177568,-0.143005,0.314541,0.264866,0.139825,0.283856,0.251307,-0.198854,0.337553,0.323336,0.103926,0.324137,0.318265,-0.227488,0.34507,0.342972,0.102278,0.327886,0.343804,-0.253706,0.346022,0.334997,0.080294,0.333413,0.332465,-0.247716,0.345925,0.327349,0.09375,0.332693,0.324416,-0.225168,0.324813,0.384443,0.076608,0.324528,0.385657,-0.076702,0.310305,0.510021,0.151495,0.356716,0.522053,-0.052178,0.291998,0.632451,0.224765,0.365734,0.664322,-0.01765,0.282372,0.655347,0.228019,0.358846,0.685764,-0.016725,0.321269,0.653811,0.193843,0.396098,0.673074,-0.075647
KG_Lat_1_6.18.26,2,620.0,341.0,0,608.38,327.36,0.9902,618.03,342.07,0.8681,0.355886,0.130863,-0.055807,0.351406,0.116981,-0.048,0.350734,0.116903,-0.048167,0.350229,0.116869,-0.048103,0.350746,0.11672,-0.071813,0.349563,0.11639,-0.072045,0.348411,0.116024,-0.072145,0.341875,0.121445,0.00209,0.338687,0.120578,-0.10765,0.352604,0.142935,-0.032121,0.351638,0.14173,-0.064917,0.33133,0.19161,0.085294,0.314556,0.177567,-0.147885,0.314383,0.264183,0.136725,0.282806,0.25073,-0.209702,0.337246,0.322393,0.102028,0.321892,0.316731,-0.238435,0.340942,0.341229,0.099654,0.324818,0.342015,-0.266167,0.344986,0.333642,0.077991,0.330527,0.331868,-0.258182,0.345045,0.325645,0.091987,0.330442,0.323993,-0.235493,0.324934,0.383831,0.076672,0.324527,0.384843,-0.076749,0.310181,0.511542,0.157392,0.356716,0.521776,-0.048564,0.292194,0.632564,0.23663,0.365724,0.663002,-0.003921,0.28236,0.655854,0.240401,0.358842,0.683603,-0.002178,0.320723,0.654007,0.202204,0.396107,0.671963,-0.065256
KG_Lat_1_6.18.26,3,607.64,325.97,0,607.64,325.97,0.9903,614.68,339.99,0.8793,0.355876,0.129596,-0.059164,0.351381,0.115789,-0.050876,0.350698,0.115733,-0.051029,0.35018,0.115691,-0.05097,0.350704,0.115645,-0.073489,0.349479,0.115455,-0.073716,0.348265,0.115207,-0.073809,0.341768,0.120978,0.000298,0.338378,0.120418,-0.108347,0.352589,0.142702,-0.035324,0.351627,0.141572,-0.066459,0.33195,0.192115,0.081067,0.314126,0.177791,-0.146282,0.314384,0.26391,0.129403,0.281179,0.249875,-0.207677,0.337245,0.321647,0.089378,0.320143,0.314809,-0.242961,0.341218,0.340989,0.084884,0.322564,0.340089,-0.271644,0.344917,0.333312,0.06273,0.328424,0.331253,-0.263318,0.344864,0.324871,0.079037,0.328727,0.323486,-0.240262,0.325161,0.383261,0.075426,0.324447,0.383934,-0.075482,0.310145,0.51233,0.160813,0.356664,0.521383,-0.061146,0.292239,0.632515,0.244413,0.365724,0.661756,-0.031453,0.282253,0.655978,0.248458,0.358807,0.681864,-0.031089,0.319213,0.653982,0.211938,0.396083,0.671966,-0.095906
KG_Lat_1_6.18.26,4,607.99,324.77,0,607.99,324.77,0.9896,613.82,338.62,0.889,0.35568,0.129408,-0.071296,0.351239,0.115636,-0.062128,0.350561,0.11554,-0.062276,0.350051,0.115453,-0.062219,0.350374,0.115532,-0.084654,0.348983,0.115338,-0.084875,0.347586,0.115089,-0.084962,0.341563,0.120756,-0.006678,0.337416,0.120369,-0.110609,0.352437,0.142647,-0.045749,0.351356,0.141543,-0.076765,0.332221,0.192329,0.077973,0.313698,0.177781,-0.149459,0.314523,0.263648,0.131202,0.279904,0.248452,-0.214313,0.338017,0.321461,0.109592,0.319699,0.313541,-0.253364,0.34146,0.339541,0.107625,0.322513,0.338962,-0.284334,0.344925,0.332502,0.085204,0.328081,0.330679,-0.278001,0.344861,0.323444,0.099741,0.328321,0.322862,-0.251893,0.325266,0.382609,0.075346,0.324448,0.383145,-0.075408,0.310123,0.512733,0.162589,0.35658,0.521164,-0.052979,0.292343,0.632518,0.247291,0.365561,0.66078,-0.007114,0.282226,0.656251,0.251519,0.358616,0.680115,-0.005219,0.31901,0.654064,0.213989,0.395054,0.670881,-0.068036
KG_Lat_1_6.18.26,5,606.9,322.17,0,606.9,322.17,0.9892,612.31,337.22,0.8944,0.355634,0.128799,-0.070138,0.351159,0.115122,-0.061117,0.350417,0.115007,-0.061269,0.349811,0.114892,-0.061214,0.35031,0.115042,-0.084744,0.348881,0.114863,-0.084963,0.347449,0.114624,-0.085054,0.34065,0.120471,-0.006819,0.337038,0.120166,-0.113619,0.352298,0.142344,-0.044983,0.351289,0.141287,-0.077446,0.331956,0.192639,0.077098,0.312994,0.177829,-0.152368,0.312847,0.263058,0.125619,0.278306,0.2476,-0.217869,0.337117,0.320637,0.085696,0.318913,0.312238,-0.252194,0.340484,0.338909,0.080883,0.321813,0.337712,-0.282548,0.343959,0.33214,0.058601,0.326992,0.330231,-0.27627,0.34386,0.322937,0.075173,0.327225,0.322509,-0.250458,0.325673,0.382584,0.076544,0.324579,0.383205,-0.076606,0.309991,0.513591,0.162833,0.356497,0.521031,-0.053314,0.292477,0.632515,0.262795,0.365563,0.660211,-0.014632,0.282227,0.656331,0.268474,0.35866,0.679566,-0.013522,0.318381,0.654048,0.227853,0.394909,0.671068,-0.078812
KG_Lat_1_6.18.26,6,605.22,319.28,0,605.22,319.28,0.9891,611.3,335.32,0.903,0.355149,0.128664,-0.068746,0.350834,0.115058,-0.059775,0.350106,0.114956,-0.059931,0.349504,0.114852,-0.059874,0.34999,0.114949,-0.083883,0.348552,0.114768,-0.084105,0.347084,0.114521,-0.084199,0.340385,0.12043,-0.005948,0.336461,0.120129,-0.111736,0.351755,0.142249,-0.043625,0.350782,0.141168,-0.076808,0.332067,0.193574,0.079478,0.312432,0.177913,-0.147412,0.31983,0.263063,0.126732,0.277606,0.246065,-0.209193,0.338103,0.319802,0.077532,0.318386,0.310481,-0.249958,0.341321,0.337734,0.070999,0.321699,0.336278,-0.28063,0.344863,0.329517,0.048553,0.327053,0.328921,-0.275263,0.343873,0.322082,0.066751,0.32717,0.321107,-0.248613,0.325758,0.382147,0.076174,0.324449,0.382421,-0.076226,0.310014,0.513476,0.162631,0.35633,0.520263,-0.056343,0.29238,0.632268,0.256756,0.365565,0.659514,-0.020825,0.282226,0.655598,0.261818,0.35889,0.679148,-0.020387,0.318376,0.653681,0.221477,0.394916,0.669585,-0.089027
KG_Lat_1_6.18.26,7,605.49,318.3,0,605.49,318.3,0.9887,610.95,334.33,0.9106,0.354721,0.127632,-0.074241,0.350379,0.114269,-0.064888,0.349705,0.114138,-0.065045,0.349161,0.114005,-0.064993,0.349266,0.114375,-0.088146,0.347659,0.11431,-0.088368,0.346009,0.114154,-0.088462,0.34023,0.120056,-0.009538,0.33549,0.120084,-0.11287,0.351386,0.141826,-0.048825,0.350262,0.140972,-0.080841,0.332301,0.193977,0.074086,0.311651,0.17807,-0.14905,0.319682,0.263046,0.128798,0.276716,0.245348,-0.212558,0.339265,0.317965,0.087741,0.318203,0.309567,-0.25345,0.341635,0.334238,0.082714,0.321541,0.335306,-0.284679,0.345665,0.326334,0.060508,0.326812,0.32824,-0.279862,0.344337,0.320166,0.077833,0.32691,0.320283,-0.252655,0.325895,0.381935,0.074946,0.324419,0.382488,-0.074991,0.309977,0.513821,0.164222,0.356246,0.52022,-0.064918,0.292455,0.632268,0.256999,0.365573,0.659194,-0.037515,0.282173,0.655768,0.262016,0.358897,0.678759,-0.03753,0.31791,0.653731,0.22249,0.39456,0.670133,-0.104636
KG_Lat_1_6.18.26,8,603.98,316.84,0,603.98,316.84,0.9887,610.15,333.39,0.9165,0.354564,0.127562,-0.078372,0.350292,0.114201,-0.069003,0.349603,0.114081,-0.069161,0.34904,0.113962,-0.069111,0.349162,0.114238,-0.092592,0.347533,0.114143,-0.092817,0.345866,0.113952,-0.092915,0.339952,0.120019,-0.012816,0.335153,0.119996,-0.118691,0.351188,0.14177,-0.052657,0.350062,0.140918,-0.085195,0.332424,0.194541,0.072165,0.311085,0.178094,-0.149515,0.321771,0.262936,0.129977,0.275877,0.244329,-0.214962,0.339536,0.318032,0.091017,0.317789,0.308695,-0.266856,0.341724,0.334304,0.086234,0.320396,0.334659,-0.299283,0.345667,0.326698,0.063249,0.325982,0.32791,-0.29387,0.344348,0.320009,0.081055,0.32626,0.319869,-0.265843,0.326504,0.381762,0.075893,0.32436,0.382554,-0.075942,0.309977,0.514494,0.170848,0.356195,0.520221,-0.073696,0.292528,0.632268,0.278774,0.365551,0.659106,-0.04537,0.282144,0.655841,0.285279,0.358842,0.678717,-0.045247,0.317999,0.653772,0.246498,0.394204,0.670091,-0.115461
KG_Lat_1_6.18.26,9,603.68,316.4,0,603.68,316.4,0.9897,610.73,331.15,0.9204,0.354371,0.127002,-0.077995,0.350041,0.114003,-0.068496,0.349351,0.113901,-0.068659,0.348778,0.113816,-0.068612,0.348851,0.114004,-0.092203,0.347173,0.113926,-0.092424,0.345459,0.113768,-0.09252,0.339561,0.11997,-0.012122,0.334609,0.119991,-0.119063,0.350998,0.141336,-0.052157,0.349859,0.140566,-0.084852,0.332266,0.194526,0.073193,0.310728,0.178138,-0.15125,0.32116,0.262558,0.136489,0.275384,0.243629,-0.216729,0.339481,0.311735,0.121624,0.318088,0.306623,-0.275472,0.341836,0.328246,0.121008,0.320567,0.331558,-0.307499,0.345933,0.322847,0.097684,0.3265,0.323648,-0.300741,0.344358,0.314271,0.111749,0.326663,0.316197,-0.27397,0.326563,0.381506,0.076132,0.324393,0.382547,-0.076183,0.309983,0.51442,0.171111,0.356002,0.520222,-0.072863,0.292494,0.63214,0.275704,0.365558,0.659241,-0.045053,0.282126,0.655768,0.28156,0.358957,0.679068,-0.044906,0.317917,0.65364,0.245146,0.394225,0.668523,-0.114194
