video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
1.16.26_HA1,0,691.29,528.64,0,691.29,528.64,0.989,699.81,544.07,0.9958,0.399165,0.274923,-0.088815,0.393886,0.261461,-0.077415,0.392888,0.261038,-0.077614,0.39196,0.260708,-0.077568,0.393211,0.261412,-0.108306,0.39158,0.261013,-0.108535,0.389895,0.260743,-0.108675,0.381398,0.266894,-0.020283,0.378343,0.267626,-0.159505,0.395371,0.287736,-0.062886,0.394322,0.287708,-0.104329,0.36474,0.333828,0.08812,0.352622,0.335663,-0.21528,0.353015,0.426728,0.160504,0.326875,0.427951,-0.255645,0.371524,0.481635,0.123949,0.364484,0.503769,-0.237445,0.375529,0.501419,0.128074,0.368096,0.527373,-0.263792,0.381739,0.500945,0.101437,0.375792,0.519544,-0.253159,0.378634,0.493636,0.111796,0.374109,0.512626,-0.231674,0.324838,0.514458,0.093704,0.333299,0.523135,-0.0938,0.287971,0.624002,0.178028,0.38735,0.62266,-0.03087,0.229723,0.712301,0.239824,0.381486,0.767526,0.051762,0.211256,0.713814,0.243296,0.369432,0.795714,0.059535,0.238252,0.774042,0.218644,0.416211,0.785649,0.031409
1.16.26_HA1,1,698.69,529.41,0,698.69,529.41,0.9878,699.82,540.37,0.9958,0.400084,0.274258,-0.080464,0.394929,0.261345,-0.070173,0.393985,0.261005,-0.070338,0.393081,0.260707,-0.070302,0.394107,0.261321,-0.098606,0.392491,0.261008,-0.098822,0.390778,0.260781,-0.09895,0.382481,0.266836,-0.016204,0.379266,0.267772,-0.14418,0.396156,0.287503,-0.05562,0.395221,0.287617,-0.093747,0.367089,0.335049,0.088122,0.353807,0.335861,-0.19155,0.351896,0.42643,0.159857,0.326963,0.427953,-0.219568,0.371032,0.478423,0.129049,0.364487,0.500347,-0.195888,0.372773,0.497829,0.13298,0.368175,0.522473,-0.218565,0.378796,0.496341,0.109095,0.375621,0.515167,-0.209801,0.37797,0.487387,0.118191,0.374041,0.507055,-0.190828,0.324842,0.514463,0.090114,0.334105,0.523209,-0.090189,0.287763,0.624406,0.17025,0.387645,0.622698,-0.039058,0.229941,0.713592,0.22919,0.381519,0.766322,0.034426,0.211901,0.713897,0.232692,0.369657,0.794029,0.041599,0.238128,0.772648,0.212939,0.416341,0.784272,0.016051
1.16.26_HA1,2,701.96,528.64,0,701.96,528.64,0.9868,701.1,540.38,0.996,0.401475,0.273758,-0.087956,0.39681,0.261183,-0.078758,0.396039,0.260874,-0.078905,0.395278,0.260587,-0.078871,0.395692,0.261226,-0.105283,0.394109,0.260975,-0.105481,0.392438,0.260775,-0.105596,0.384845,0.266328,-0.026708,0.381249,0.267547,-0.144454,0.398188,0.286989,-0.063679,0.396848,0.287337,-0.099121,0.368015,0.335045,0.075328,0.355796,0.335904,-0.196161,0.352028,0.426322,0.129747,0.328087,0.428664,-0.221454,0.371034,0.478471,0.084588,0.365157,0.500353,-0.197067,0.37274,0.49808,0.084397,0.368387,0.522286,-0.220836,0.378881,0.496433,0.061403,0.375613,0.515269,-0.212796,0.377824,0.487475,0.073636,0.374045,0.507271,-0.192326,0.325053,0.514018,0.088918,0.334882,0.522964,-0.088987,0.2878,0.624365,0.175841,0.387676,0.623001,-0.031261,0.231336,0.713602,0.240794,0.381868,0.766478,0.036703,0.213791,0.7135,0.244751,0.370281,0.794106,0.044705,0.238264,0.771489,0.223673,0.416929,0.783964,0.017824
1.16.26_HA1,3,707.36,529.87,0,707.36,529.87,0.9848,702.29,539.82,0.9962,0.404321,0.271765,-0.08794,0.399951,0.260045,-0.078712,0.399175,0.259899,-0.078865,0.398389,0.259723,-0.078831,0.398681,0.260177,-0.105295,0.397179,0.260184,-0.105495,0.395475,0.260116,-0.105611,0.388336,0.265071,-0.026117,0.384848,0.266524,-0.146659,0.401454,0.285232,-0.063659,0.400184,0.285713,-0.099351,0.370524,0.334687,0.077344,0.359556,0.335689,-0.197278,0.352271,0.425502,0.137368,0.329644,0.427898,-0.22403,0.370992,0.47841,0.096128,0.365776,0.499837,-0.199864,0.372789,0.498126,0.097511,0.369007,0.521185,-0.223996,0.378453,0.49615,0.073352,0.37583,0.514379,-0.21508,0.377788,0.487697,0.084782,0.374395,0.506225,-0.194748,0.325623,0.512789,0.089013,0.335759,0.522118,-0.089082,0.288553,0.623884,0.174752,0.387675,0.62348,-0.029271,0.233535,0.713445,0.236939,0.381896,0.766479,0.043499,0.216581,0.713501,0.240507,0.370481,0.794108,0.051192,0.239067,0.771157,0.218994,0.416902,0.783673,0.024221
1.16.26_HA1,4,708.35,527.56,0,708.35,527.56,0.9909,704.29,538.19,0.9962,0.408884,0.270947,-0.086819,0.404441,0.25942,-0.077848,0.403589,0.259325,-0.077995,0.402748,0.259181,-0.077964,0.403169,0.259614,-0.104134,0.401581,0.259733,-0.104341,0.39986,0.259726,-0.104463,0.392759,0.264162,-0.025464,0.389235,0.265714,-0.146748,0.405573,0.284468,-0.062985,0.40452,0.284997,-0.098469,0.373262,0.333926,0.078469,0.363341,0.33554,-0.194507,0.352094,0.422383,0.161898,0.332421,0.42704,-0.225269,0.370554,0.475545,0.173495,0.36682,0.498327,-0.207236,0.372687,0.494947,0.183539,0.369921,0.51997,-0.231825,0.378255,0.492827,0.158585,0.376613,0.513556,-0.222324,0.377847,0.48442,0.163442,0.375388,0.505211,-0.20201,0.326091,0.510369,0.088656,0.335724,0.519092,-0.088723,0.289525,0.623411,0.174236,0.387515,0.623372,-0.029348,0.235672,0.713085,0.232602,0.381894,0.767356,0.039286,0.219631,0.71267,0.235903,0.370517,0.79475,0.046058,0.239836,0.771131,0.215632,0.41693,0.783541,0.018928
1.16.26_HA1,5,712.7,528.39,0,712.7,528.39,0.9885,708.88,538.35,0.9962,0.413223,0.270148,-0.086037,0.408684,0.259053,-0.077239,0.407713,0.259013,-0.077388,0.406655,0.258896,-0.077361,0.407978,0.259316,-0.103704,0.406537,0.259491,-0.103915,0.404855,0.259521,-0.104043,0.396247,0.263464,-0.025363,0.394544,0.265151,-0.148058,0.40998,0.28375,-0.06275,0.409192,0.284394,-0.098524,0.376241,0.332493,0.07661,0.367342,0.334923,-0.197292,0.352265,0.417879,0.170233,0.336948,0.425273,-0.229639,0.370765,0.473373,0.190179,0.369206,0.498471,-0.208272,0.372711,0.490379,0.201924,0.372027,0.520225,-0.233418,0.378295,0.489831,0.175276,0.37879,0.513596,-0.223594,0.378012,0.483594,0.179622,0.37745,0.505484,-0.202211,0.326493,0.508023,0.088096,0.336768,0.517985,-0.088167,0.291231,0.623,0.174243,0.38711,0.623389,-0.018254,0.238406,0.713044,0.231262,0.381916,0.76721,0.055171,0.222068,0.71169,0.234499,0.370517,0.79458,0.062548,0.239888,0.770967,0.213985,0.416535,0.783721,0.040206
1.16.26_HA1,6,714.57,529.34,0,714.57,529.34,0.9883,713.07,540.39,0.9963,0.417264,0.269994,-0.08878,0.412545,0.258791,-0.079569,0.411515,0.258772,-0.079724,0.410298,0.258703,-0.079692,0.411984,0.259066,-0.106468,0.410606,0.259314,-0.106681,0.40881,0.259441,-0.106816,0.399488,0.263217,-0.027973,0.397759,0.265062,-0.151003,0.413221,0.28363,-0.06534,0.412595,0.284311,-0.101582,0.379346,0.331685,0.074916,0.370483,0.33428,-0.199224,0.356483,0.418014,0.162498,0.340243,0.425314,-0.232206,0.371929,0.473571,0.172966,0.371388,0.500359,-0.209718,0.373813,0.490763,0.178165,0.374083,0.521403,-0.23466,0.379613,0.490436,0.153556,0.381583,0.514347,-0.225274,0.379433,0.485524,0.161972,0.380107,0.506531,-0.204226,0.327412,0.505979,0.088172,0.337646,0.516351,-0.088245,0.293233,0.621833,0.174278,0.386438,0.623519,-0.015072,0.240582,0.713017,0.229539,0.381805,0.767245,0.064597,0.224065,0.711702,0.232354,0.370557,0.794952,0.072233,0.240278,0.770965,0.207969,0.416044,0.783794,0.046572
1.16.26_HA1,7,714.58,529.58,0,714.58,529.58,0.9848,716.26,541.43,0.9964,0.420583,0.270046,-0.099594,0.41599,0.258701,-0.089298,0.415183,0.258664,-0.089462,0.414309,0.258593,-0.089421,0.415055,0.258988,-0.116803,0.413331,0.259271,-0.117025,0.411336,0.259446,-0.11717,0.403142,0.263158,-0.035213,0.400471,0.265074,-0.159272,0.416691,0.283672,-0.074989,0.415678,0.284351,-0.111926,0.383392,0.331018,0.069582,0.374179,0.333835,-0.205185,0.360182,0.417831,0.157452,0.342997,0.425363,-0.23298,0.372778,0.473806,0.156895,0.373053,0.50132,-0.211901,0.374597,0.490853,0.161227,0.375389,0.522271,-0.236773,0.380435,0.491157,0.136393,0.382737,0.515227,-0.227001,0.380339,0.487217,0.145706,0.381319,0.507481,-0.206258,0.328339,0.503686,0.087887,0.338854,0.515147,-0.087962,0.294682,0.620979,0.173004,0.385569,0.62401,-0.007377,0.24292,0.713014,0.22483,0.381768,0.767523,0.077768,0.226609,0.711476,0.227192,0.370539,0.79552,0.085844,0.240667,0.770984,0.197376,0.416023,0.784251,0.05744
1.16.26_HA1,8,715.79,529.17,0,715.79,529.17,0.9834,718.51,542.36,0.9966,0.423055,0.270113,-0.10126,0.418785,0.258691,-0.090753,0.417928,0.258654,-0.090917,0.417036,0.258592,-0.09087,0.417813,0.258966,-0.1187,0.416038,0.259257,-0.118918,0.414065,0.259449,-0.119063,0.406012,0.263112,-0.036786,0.403342,0.265089,-0.162237,0.418804,0.283706,-0.076575,0.417937,0.284372,-0.114059,0.385022,0.330636,0.066911,0.377193,0.333178,-0.209395,0.361568,0.418201,0.130479,0.346499,0.425487,-0.233476,0.372754,0.47879,0.09153,0.374226,0.502183,-0.203236,0.374572,0.498795,0.09369,0.376193,0.523801,-0.227516,0.380423,0.498963,0.067575,0.383563,0.517495,-0.218889,0.380292,0.494887,0.079417,0.382458,0.508649,-0.198055,0.329359,0.502114,0.087576,0.340336,0.513935,-0.087653,0.296069,0.620429,0.179781,0.384676,0.624249,-0.001846,0.2439,0.713021,0.241398,0.381782,0.767604,0.084863,0.228035,0.711397,0.244804,0.371353,0.795871,0.092974,0.242534,0.7712,0.215451,0.416026,0.784281,0.064862
1.16.26_HA1,9,717.63,529.68,0,717.63,529.68,0.9845,720.61,545.46,0.9967,0.425377,0.270098,-0.099344,0.420904,0.258695,-0.088839,0.419863,0.258654,-0.089007,0.418731,0.258595,-0.088961,0.420328,0.258974,-0.117126,0.418786,0.259261,-0.117345,0.417003,0.259473,-0.117488,0.408407,0.263132,-0.03792,0.406646,0.26512,-0.162168,0.421371,0.283683,-0.074868,0.420726,0.284364,-0.112569,0.385453,0.330029,0.063235,0.380049,0.333255,-0.21018,0.360923,0.418468,0.13219,0.34881,0.426165,-0.227237,0.370971,0.484485,0.104325,0.375318,0.505056,-0.184961,0.37319,0.507431,0.108016,0.376959,0.526768,-0.206885,0.379357,0.508155,0.081956,0.384263,0.520772,-0.198822,0.379394,0.503777,0.092501,0.383032,0.512371,-0.179919,0.329934,0.499207,0.086832,0.342026,0.512246,-0.086914,0.297412,0.619448,0.183306,0.384035,0.624698,0.015245,0.245288,0.713019,0.243044,0.381781,0.767611,0.104113,0.228455,0.711611,0.246455,0.371683,0.796173,0.112739,0.245271,0.771784,0.221134,0.416025,0.784366,0.090614
