video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
1.7.26_AL1,0,692.7,564.56,0,692.7,564.56,0.9919,697.31,572.89,0.9995,0.395538,0.298199,-0.08071,0.395643,0.284649,-0.075302,0.394599,0.283288,-0.07545,0.393719,0.281862,-0.075384,0.395377,0.284552,-0.098073,0.394313,0.283282,-0.098275,0.393426,0.281909,-0.098348,0.382417,0.276133,-0.037568,0.382374,0.276716,-0.140344,0.389104,0.306132,-0.061291,0.388995,0.305472,-0.092137,0.349173,0.331515,0.046475,0.358371,0.344001,-0.182683,0.332161,0.431155,0.079634,0.350852,0.44672,-0.213709,0.329454,0.513706,0.03877,0.363182,0.53045,-0.197614,0.330377,0.525192,0.037749,0.364,0.557784,-0.218956,0.331107,0.52499,0.019133,0.369172,0.55542,-0.215119,0.333034,0.525686,0.030143,0.368205,0.546465,-0.19479,0.316077,0.487728,0.070143,0.331969,0.496654,-0.070301,0.296409,0.604208,0.120539,0.349165,0.618055,0.000662,0.257159,0.706702,0.149749,0.34827,0.74936,0.049619,0.243088,0.71747,0.149681,0.335914,0.774902,0.052414,0.270137,0.766644,0.12154,0.379684,0.785021,0.013357
1.7.26_AL1,1,693.05,565.2,0,693.05,565.2,0.9923,694.23,573.85,0.9994,0.395224,0.297315,-0.120602,0.394922,0.28343,-0.11202,0.394131,0.282325,-0.112181,0.393403,0.281121,-0.112146,0.394333,0.283007,-0.135811,0.393093,0.281723,-0.135983,0.391873,0.280414,-0.136061,0.382331,0.276133,-0.062538,0.380942,0.276444,-0.169317,0.389033,0.305554,-0.097583,0.388617,0.304933,-0.129574,0.35237,0.332306,0.034385,0.358267,0.344635,-0.211627,0.348944,0.433778,0.07437,0.349705,0.44675,-0.240999,0.372181,0.513459,0.021126,0.361576,0.531342,-0.226518,0.378291,0.526485,0.019026,0.362503,0.558964,-0.25216,0.382496,0.529278,-0.006406,0.368245,0.556985,-0.250557,0.377785,0.525685,0.009064,0.367468,0.547616,-0.225218,0.315947,0.489191,0.073992,0.328699,0.497218,-0.074119,0.296352,0.604369,0.157808,0.349411,0.618192,0.00739,0.25739,0.70623,0.217431,0.348429,0.748381,0.091899,0.243149,0.715894,0.220062,0.337343,0.772653,0.098104,0.269853,0.765902,0.187637,0.379744,0.784666,0.060723
1.7.26_AL1,2,692.96,565.69,0,692.96,565.69,0.9921,692.06,574.99,0.9994,0.39519,0.29619,-0.114982,0.394813,0.282101,-0.107277,0.394082,0.281068,-0.107429,0.393387,0.279964,-0.107409,0.393956,0.281528,-0.130715,0.392648,0.280385,-0.13088,0.391359,0.279223,-0.130963,0.38228,0.276049,-0.061634,0.380352,0.276034,-0.16711,0.389027,0.304855,-0.093498,0.388451,0.304237,-0.125036,0.353683,0.332311,0.032777,0.358068,0.344532,-0.209821,0.352123,0.435241,0.074749,0.348661,0.446841,-0.238137,0.375189,0.513491,0.021233,0.360449,0.532394,-0.223688,0.381245,0.527795,0.020558,0.361529,0.559946,-0.249019,0.384478,0.530612,-0.000544,0.367286,0.558107,-0.247063,0.381381,0.525915,0.01246,0.36706,0.548529,-0.222332,0.315684,0.489997,0.074802,0.327515,0.497714,-0.074917,0.296289,0.604457,0.169595,0.349468,0.618213,0.006753,0.257541,0.705931,0.244555,0.348311,0.748384,0.083193,0.243134,0.714913,0.248867,0.337455,0.772237,0.088626,0.26909,0.765812,0.216417,0.379743,0.78464,0.048683
1.7.26_AL1,3,691.77,565.2,0,691.77,565.2,0.9918,691.05,575.72,0.9994,0.394922,0.295324,-0.117749,0.394285,0.280881,-0.10964,0.393624,0.279728,-0.109791,0.392954,0.278571,-0.109773,0.393301,0.28039,-0.133168,0.39204,0.279273,-0.13333,0.390653,0.278056,-0.133418,0.381912,0.275517,-0.063616,0.379689,0.275217,-0.16937,0.388836,0.304065,-0.096198,0.388061,0.303405,-0.12784,0.3535,0.332393,0.03192,0.357826,0.344694,-0.213816,0.35203,0.436013,0.075015,0.34819,0.447222,-0.240916,0.373703,0.513488,0.023523,0.359919,0.533075,-0.223182,0.378319,0.528324,0.021669,0.361298,0.560018,-0.248345,0.382529,0.531208,0.002992,0.36695,0.558168,-0.245845,0.379349,0.525923,0.01557,0.366886,0.548839,-0.22153,0.315469,0.490186,0.075671,0.327108,0.497843,-0.07578,0.29598,0.604497,0.168913,0.349497,0.618213,0.006406,0.257593,0.705761,0.237935,0.34821,0.748366,0.082231,0.243115,0.71481,0.241558,0.337554,0.772179,0.087716,0.268488,0.765237,0.208547,0.379505,0.784626,0.048014
1.7.26_AL1,4,694.16,564.86,0,694.16,564.86,0.9947,690.89,576.35,0.9994,0.394321,0.293452,-0.111247,0.393267,0.278852,-0.103289,0.392669,0.277817,-0.103438,0.392036,0.276817,-0.103413,0.392168,0.278442,-0.126482,0.390928,0.27751,-0.12665,0.389382,0.276379,-0.126734,0.381182,0.274793,-0.058691,0.378405,0.274306,-0.163491,0.388316,0.302561,-0.090023,0.387287,0.302094,-0.121221,0.353378,0.332392,0.033834,0.357234,0.344702,-0.207297,0.351844,0.436095,0.075354,0.347514,0.447335,-0.235635,0.372632,0.513763,0.02529,0.359838,0.533655,-0.218655,0.377452,0.529015,0.023016,0.361205,0.560609,-0.242995,0.381794,0.532569,0.005049,0.366858,0.558689,-0.240293,0.378593,0.526315,0.017562,0.366878,0.549411,-0.216762,0.31501,0.490417,0.075493,0.326167,0.498166,-0.075603,0.295489,0.604446,0.159863,0.349484,0.618203,-0.002494,0.257519,0.705238,0.221653,0.347881,0.748405,0.075415,0.242533,0.713865,0.224663,0.337674,0.772091,0.082194,0.266275,0.764541,0.193597,0.379494,0.784465,0.044644
1.7.26_AL1,5,693.51,563.81,0,693.51,563.81,0.9952,689.88,576.53,0.9994,0.393269,0.291817,-0.116705,0.39178,0.277321,-0.108629,0.39116,0.276373,-0.10878,0.390456,0.275465,-0.108764,0.390742,0.276952,-0.131423,0.389449,0.276051,-0.131586,0.387766,0.274945,-0.131674,0.379721,0.274117,-0.062966,0.376884,0.273503,-0.165774,0.387129,0.300857,-0.095369,0.385995,0.300621,-0.126074,0.353227,0.332358,0.029668,0.356397,0.344661,-0.20861,0.351775,0.436022,0.073476,0.346792,0.44735,-0.236361,0.373224,0.513729,0.027028,0.359314,0.533822,-0.221334,0.377855,0.529287,0.02539,0.360733,0.560601,-0.246666,0.382266,0.532576,0.004677,0.366336,0.558742,-0.244268,0.378785,0.526312,0.017775,0.366505,0.5495,-0.219809,0.314763,0.490398,0.075295,0.324906,0.498158,-0.075405,0.294548,0.604349,0.170339,0.349465,0.617423,-0.00885,0.257303,0.70486,0.246547,0.347443,0.748405,0.066888,0.241875,0.713566,0.250914,0.337656,0.772116,0.073698,0.264629,0.764231,0.219526,0.37948,0.784182,0.03275
1.7.26_AL1,6,693.55,563.59,0,693.55,563.59,0.9952,689.35,576.64,0.9994,0.392326,0.290643,-0.112558,0.39054,0.276439,-0.104537,0.389846,0.275522,-0.104688,0.389015,0.274633,-0.104667,0.389624,0.2761,-0.127699,0.388367,0.275257,-0.127863,0.38667,0.274185,-0.127951,0.378129,0.273262,-0.059657,0.375755,0.272735,-0.163637,0.386038,0.299862,-0.091414,0.384966,0.29969,-0.122631,0.352627,0.33235,0.031705,0.35543,0.344665,-0.208162,0.351197,0.436038,0.073633,0.346364,0.447384,-0.235856,0.373322,0.513745,0.028021,0.359036,0.53393,-0.219405,0.378424,0.529452,0.026697,0.360312,0.560871,-0.244631,0.381663,0.532805,0.004203,0.365947,0.559103,-0.241977,0.379636,0.526383,0.017822,0.366271,0.549822,-0.217728,0.313549,0.490767,0.075536,0.324094,0.498793,-0.075646,0.294153,0.604317,0.174786,0.34936,0.617319,0.002208,0.256918,0.704254,0.249303,0.347059,0.748222,0.084759,0.241371,0.712939,0.253621,0.337651,0.771694,0.091131,0.263172,0.763813,0.222752,0.37906,0.783947,0.052904
1.7.26_AL1,7,692.69,563.59,0,692.69,563.59,0.9953,689.26,576.08,0.9994,0.391056,0.288985,-0.119408,0.388968,0.275007,-0.110889,0.388265,0.274236,-0.111038,0.387439,0.273416,-0.111021,0.388084,0.274646,-0.134443,0.386776,0.273791,-0.134606,0.385025,0.272706,-0.134694,0.376497,0.272274,-0.063836,0.374024,0.271608,-0.169613,0.384756,0.298487,-0.097582,0.383656,0.298376,-0.129274,0.351625,0.331852,0.030661,0.354654,0.344129,-0.213568,0.350119,0.435966,0.073513,0.34629,0.446894,-0.240917,0.371896,0.513619,0.027482,0.358991,0.533411,-0.224906,0.37719,0.529398,0.026511,0.360399,0.560096,-0.250873,0.381189,0.532647,0.002252,0.366016,0.558176,-0.24807,0.377842,0.526341,0.016325,0.366275,0.549185,-0.223223,0.31306,0.490437,0.075917,0.32383,0.498269,-0.076023,0.293285,0.604318,0.167349,0.349007,0.616879,-0.001327,0.255767,0.703978,0.235266,0.346666,0.748225,0.080706,0.240029,0.711934,0.23883,0.337562,0.771704,0.085476,0.261876,0.763544,0.205626,0.378881,0.783957,0.052485
1.7.26_AL1,8,692.06,563.23,0,692.06,563.23,0.9956,688.98,576.06,0.9993,0.389195,0.287825,-0.114121,0.386809,0.273942,-0.106127,0.386075,0.273037,-0.106278,0.385295,0.272054,-0.106254,0.385963,0.273648,-0.129446,0.3846,0.272623,-0.129615,0.383004,0.271494,-0.129702,0.374601,0.271501,-0.060782,0.372634,0.27109,-0.1658,0.383318,0.297444,-0.09284,0.38225,0.297169,-0.124239,0.350778,0.331876,0.031919,0.353346,0.344123,-0.209741,0.349613,0.436033,0.073815,0.345564,0.446889,-0.237675,0.371994,0.513704,0.028039,0.358844,0.533385,-0.221581,0.37653,0.530842,0.027258,0.36044,0.56007,-0.246745,0.381129,0.534149,0.002836,0.366073,0.558073,-0.243785,0.378952,0.52708,0.016751,0.36629,0.549052,-0.219733,0.311964,0.490994,0.07586,0.322593,0.498923,-0.075964,0.292003,0.604191,0.176039,0.348635,0.616696,-0.00207,0.254753,0.703414,0.251475,0.346249,0.748094,0.07578,0.238887,0.711713,0.255792,0.337555,0.771462,0.080274,0.260631,0.763466,0.224167,0.378839,0.783899,0.044456
1.7.26_AL1,9,693.0,562.44,0,693.0,562.44,0.9954,688.89,575.48,0.9993,0.387705,0.285255,-0.114449,0.384833,0.271219,-0.106066,0.383909,0.270458,-0.106221,0.382977,0.269753,-0.1062,0.384077,0.270881,-0.129717,0.382695,0.270024,-0.129885,0.381242,0.269286,-0.129973,0.37233,0.270325,-0.0602,0.370958,0.270049,-0.166383,0.38149,0.295422,-0.093083,0.380688,0.295359,-0.124904,0.349018,0.331852,0.032666,0.35157,0.344106,-0.211079,0.348915,0.435927,0.074577,0.344783,0.446542,-0.237476,0.370738,0.513679,0.028409,0.358799,0.53285,-0.22117,0.375638,0.530756,0.027506,0.360498,0.559379,-0.246643,0.379838,0.533909,0.003816,0.366117,0.557069,-0.243661,0.376814,0.527,0.017492,0.366285,0.548299,-0.21932,0.311753,0.49077,0.075929,0.321937,0.49869,-0.076032,0.290893,0.60417,0.168234,0.34819,0.616343,0.002713,0.253124,0.703093,0.234164,0.345904,0.747962,0.081189,0.237742,0.710732,0.237563,0.337232,0.771257,0.086491,0.259647,0.763348,0.205989,0.378699,0.783818,0.048561
