video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
AN_Lat_2_4.12.26,0,221.35,467.72,0,221.35,467.72,0.9961,236.16,480.46,0.9705,0.195742,0.273493,-0.017592,0.198255,0.258757,-0.010186,0.198285,0.258196,-0.010382,0.198261,0.257587,-0.010367,0.196294,0.256042,-0.033356,0.194916,0.253634,-0.033606,0.193608,0.250987,-0.033653,0.186496,0.245474,0.031781,0.183067,0.237915,-0.074127,0.187663,0.282187,0.002744,0.186167,0.279905,-0.029413,0.173994,0.321592,0.10585,0.133337,0.271722,-0.121273,0.207347,0.409597,0.168028,0.079925,0.353596,-0.181815,0.274042,0.443581,0.14912,0.123001,0.444869,-0.217345,0.288858,0.447446,0.151346,0.124431,0.478003,-0.24317,0.291749,0.446851,0.123987,0.130917,0.47122,-0.24173,0.285865,0.446376,0.136642,0.13078,0.464491,-0.21809,0.117709,0.502035,0.079466,0.107395,0.491379,-0.079584,0.130731,0.655586,0.151185,0.161908,0.634567,-0.128974,0.11625,0.822714,0.191079,0.19202,0.81602,-0.141919,0.101758,0.859135,0.190375,0.180371,0.850958,-0.144411,0.158972,0.854857,0.157673,0.235325,0.831748,-0.193032
AN_Lat_2_4.12.26,1,226.4,468.78,0,226.4,468.78,0.996,236.19,480.46,0.9721,0.196471,0.272709,-0.00985,0.199142,0.257874,-0.003552,0.199121,0.257202,-0.003726,0.199086,0.256497,-0.003722,0.197017,0.255071,-0.023976,0.195643,0.252543,-0.024229,0.194264,0.24958,-0.024284,0.187393,0.244668,0.034128,0.183297,0.23676,-0.0585,0.188363,0.280936,0.008802,0.186854,0.278263,-0.019491,0.173996,0.31822,0.10258,0.133727,0.271421,-0.09867,0.20735,0.408313,0.150936,0.080285,0.352977,-0.140301,0.27395,0.442596,0.123894,0.123017,0.444868,-0.160099,0.288353,0.447359,0.124492,0.125065,0.477564,-0.17987,0.290521,0.446459,0.100162,0.131282,0.471186,-0.180105,0.285013,0.446268,0.112613,0.131117,0.464305,-0.160753,0.117705,0.501739,0.069467,0.107397,0.49134,-0.069616,0.130467,0.65691,0.126307,0.162951,0.635077,-0.112265,0.116447,0.822744,0.147736,0.193311,0.816167,-0.123027,0.102723,0.857813,0.145762,0.182189,0.852936,-0.124212,0.158314,0.854592,0.11521,0.236815,0.833322,-0.159817
AN_Lat_2_4.12.26,2,234.11,470.36,0,234.11,470.36,0.9963,237.1,480.64,0.9734,0.199244,0.272444,-0.003323,0.201458,0.257574,0.003218,0.201194,0.256805,0.003049,0.200888,0.255978,0.003055,0.199762,0.254852,-0.017657,0.198082,0.252201,-0.017916,0.196292,0.249078,-0.017972,0.189085,0.244259,0.039789,0.184671,0.236419,-0.054471,0.190815,0.280452,0.014949,0.189138,0.277424,-0.01386,0.175221,0.318144,0.105403,0.135726,0.271133,-0.097481,0.208974,0.408225,0.152189,0.081354,0.352979,-0.129653,0.276262,0.438,0.126888,0.123491,0.44504,-0.129469,0.2915,0.439854,0.126369,0.126196,0.47756,-0.146144,0.293853,0.437649,0.10256,0.132046,0.471275,-0.145933,0.287589,0.438982,0.114131,0.131893,0.464294,-0.129395,0.118016,0.500778,0.069788,0.107523,0.490938,-0.069939,0.130487,0.657095,0.124392,0.164014,0.63508,-0.108923,0.11645,0.822744,0.140237,0.194216,0.816169,-0.11327,0.102771,0.857591,0.137778,0.183117,0.853539,-0.113533,0.158031,0.854627,0.108113,0.237857,0.833821,-0.144667
AN_Lat_2_4.12.26,3,239.83,472.13,0,239.83,472.13,0.9966,240.32,480.77,0.9748,0.201888,0.272489,-0.004343,0.204001,0.257629,0.002244,0.203663,0.256825,0.00207,0.20333,0.255985,0.002076,0.202162,0.254951,-0.019006,0.200453,0.252265,-0.019264,0.198719,0.249101,-0.01932,0.191207,0.24402,0.039222,0.187013,0.236425,-0.056955,0.192632,0.280494,0.014085,0.191108,0.277431,-0.015265,0.176971,0.318139,0.104233,0.13712,0.271114,-0.100191,0.2105,0.407889,0.153924,0.082706,0.35349,-0.141188,0.277963,0.433332,0.129845,0.125167,0.44516,-0.154553,0.295058,0.432192,0.128467,0.128419,0.477565,-0.174266,0.297226,0.430411,0.104958,0.134246,0.471601,-0.172336,0.290364,0.432771,0.115831,0.134186,0.464351,-0.154328,0.118633,0.500043,0.069581,0.107967,0.489898,-0.069728,0.130571,0.657281,0.127559,0.165403,0.635077,-0.111896,0.116452,0.822701,0.150427,0.195267,0.816516,-0.118987,0.102884,0.857498,0.148751,0.184507,0.8539,-0.119855,0.157602,0.854646,0.118826,0.23873,0.834589,-0.154833
AN_Lat_2_4.12.26,4,244.28,471.13,0,244.28,471.13,0.9963,248.23,480.7,0.9761,0.203871,0.272507,-0.000284,0.206123,0.257695,0.006063,0.205869,0.256874,0.00589,0.205648,0.256015,0.005898,0.204208,0.255002,-0.01494,0.202664,0.252314,-0.015203,0.201124,0.249143,-0.015264,0.194442,0.244003,0.042606,0.190107,0.236429,-0.052149,0.194651,0.280601,0.018166,0.19335,0.277448,-0.010836,0.180227,0.318161,0.107141,0.140212,0.270834,-0.095087,0.213695,0.407768,0.158098,0.085569,0.353574,-0.132959,0.280031,0.423942,0.138975,0.129289,0.445091,-0.141915,0.296876,0.423704,0.140941,0.131821,0.477327,-0.160291,0.300762,0.42223,0.119432,0.138004,0.471594,-0.157693,0.293019,0.424417,0.127725,0.138115,0.464087,-0.141166,0.121781,0.499446,0.069787,0.109621,0.488449,-0.069933,0.131773,0.657136,0.127028,0.166526,0.634777,-0.113873,0.116461,0.821945,0.150039,0.195384,0.816656,-0.11997,0.102879,0.856685,0.148487,0.184786,0.85389,-0.121665,0.157567,0.854941,0.120104,0.239476,0.839258,-0.161887
AN_Lat_2_4.12.26,5,250.13,473.39,0,250.13,473.39,0.9966,253.47,480.77,0.9769,0.206909,0.272512,0.011961,0.208803,0.257754,0.01763,0.208446,0.256928,0.017454,0.208152,0.256075,0.017468,0.206991,0.255073,-0.00476,0.205467,0.252407,-0.005025,0.203935,0.249286,-0.005086,0.196878,0.244012,0.052587,0.193064,0.236718,-0.048038,0.197172,0.280735,0.030382,0.196035,0.277544,-0.000493,0.181985,0.317152,0.121802,0.143509,0.270789,-0.092966,0.21336,0.396159,0.195677,0.088511,0.35411,-0.125268,0.273638,0.378992,0.199171,0.132014,0.445157,-0.115443,0.283224,0.37546,0.206272,0.134485,0.477325,-0.13055,0.283601,0.37372,0.186172,0.140655,0.471823,-0.125709,0.279269,0.373613,0.190783,0.14059,0.464203,-0.112952,0.123037,0.499104,0.070043,0.11174,0.487877,-0.070197,0.133433,0.657201,0.118012,0.169839,0.634782,-0.11462,0.116449,0.821967,0.131261,0.19546,0.817595,-0.122841,0.1028,0.856575,0.129021,0.18466,0.854023,-0.124211,0.156197,0.854862,0.103063,0.239365,0.846128,-0.156126
AN_Lat_2_4.12.26,6,259.41,472.81,0,259.41,472.81,0.9964,259.93,480.81,0.9783,0.209898,0.27256,0.007272,0.21203,0.257814,0.01338,0.211611,0.25694,0.013203,0.211227,0.256078,0.013215,0.210452,0.255247,-0.008736,0.208865,0.252539,-0.008999,0.207359,0.249383,-0.009057,0.200288,0.243685,0.049801,0.196428,0.236677,-0.049685,0.200104,0.280731,0.026007,0.199216,0.27755,-0.004519,0.185014,0.316768,0.119088,0.146683,0.270785,-0.093714,0.216802,0.396276,0.192129,0.092105,0.354176,-0.124285,0.278857,0.395006,0.180614,0.135378,0.44519,-0.120432,0.29488,0.394174,0.186256,0.137702,0.477319,-0.137091,0.29793,0.392634,0.173389,0.143836,0.471969,-0.134469,0.289668,0.393044,0.174567,0.143552,0.464216,-0.119295,0.124754,0.498807,0.070308,0.113757,0.48778,-0.070461,0.134367,0.657608,0.117384,0.172606,0.634782,-0.111366,0.116434,0.822038,0.128064,0.194723,0.817892,-0.11872,0.102692,0.856503,0.125508,0.183482,0.854012,-0.119331,0.156193,0.855157,0.098885,0.238166,0.851823,-0.147327
AN_Lat_2_4.12.26,7,267.28,473.93,0,267.28,473.93,0.9962,266.06,480.89,0.9796,0.213934,0.272734,0.006156,0.21616,0.25803,0.012449,0.215877,0.257093,0.012274,0.215649,0.256156,0.012288,0.214438,0.255516,-0.010082,0.212695,0.252727,-0.010345,0.21108,0.249509,-0.010399,0.203598,0.243502,0.049608,0.199536,0.236684,-0.051672,0.204152,0.280738,0.025148,0.202821,0.277551,-0.005898,0.186206,0.314766,0.118699,0.150763,0.270851,-0.096083,0.217408,0.396418,0.185208,0.096382,0.354177,-0.128879,0.280465,0.398928,0.170667,0.138571,0.445264,-0.124664,0.297968,0.399512,0.174936,0.140896,0.477319,-0.141849,0.300995,0.398057,0.155383,0.14736,0.472076,-0.138504,0.293478,0.399982,0.161911,0.146989,0.464212,-0.123289,0.126054,0.498246,0.070717,0.11861,0.487864,-0.070867,0.13605,0.657941,0.112322,0.17505,0.635123,-0.106801,0.116457,0.822036,0.115207,0.19379,0.819863,-0.11228,0.102506,0.856373,0.111841,0.182507,0.85422,-0.112393,0.156181,0.855176,0.084298,0.236738,0.853586,-0.13765
AN_Lat_2_4.12.26,8,270.63,472.35,0,270.63,472.35,0.9959,273.61,480.94,0.9809,0.217329,0.272794,0.007375,0.21961,0.258051,0.013595,0.219263,0.257099,0.013423,0.218906,0.256162,0.013438,0.218136,0.255602,-0.009101,0.216554,0.252831,-0.009362,0.214648,0.249578,-0.009412,0.206569,0.24349,0.050311,0.202611,0.236701,-0.051825,0.207612,0.280744,0.026092,0.206702,0.277562,-0.005135,0.188495,0.313569,0.11987,0.154816,0.270796,-0.097429,0.219139,0.397266,0.183527,0.100471,0.354233,-0.127334,0.283393,0.402615,0.167802,0.142503,0.445313,-0.117779,0.302053,0.403392,0.171914,0.144569,0.477374,-0.134687,0.304458,0.401661,0.149622,0.151063,0.472167,-0.131477,0.29621,0.403201,0.157887,0.150625,0.464268,-0.116409,0.128961,0.497769,0.070928,0.122193,0.487964,-0.071087,0.138096,0.658304,0.115288,0.176894,0.635845,-0.104667,0.116471,0.822046,0.119704,0.191749,0.820644,-0.105807,0.102423,0.856013,0.116497,0.18106,0.855906,-0.105295,0.155851,0.856045,0.088195,0.235542,0.854122,-0.129935
AN_Lat_2_4.12.26,9,277.09,474.7,0,277.09,474.7,0.996,280.55,481.4,0.9813,0.221224,0.272833,0.006075,0.223262,0.258054,0.012318,0.222795,0.257095,0.012148,0.222277,0.256136,0.012164,0.221963,0.255605,-0.010255,0.220557,0.252836,-0.010517,0.218651,0.249588,-0.010569,0.210274,0.243435,0.049255,0.206,0.236692,-0.052443,0.211699,0.280744,0.024865,0.210841,0.27757,-0.006173,0.192373,0.313681,0.119096,0.158635,0.270856,-0.097782,0.220849,0.397667,0.18122,0.104363,0.354234,-0.12032,0.284421,0.406376,0.163206,0.146121,0.44574,-0.101075,0.301774,0.406785,0.166434,0.14824,0.47779,-0.116164,0.305175,0.405214,0.146434,0.154992,0.473183,-0.113601,0.296946,0.406732,0.153974,0.154608,0.464626,-0.099595,0.131185,0.49767,0.071155,0.123568,0.487989,-0.071311,0.139025,0.658585,0.115695,0.178068,0.637269,-0.102416,0.116545,0.822049,0.119596,0.191138,0.820796,-0.098574,0.102416,0.855963,0.116243,0.179247,0.855952,-0.097654,0.155947,0.856175,0.086852,0.234336,0.854612,-0.123245
