video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
EH_3_Lat_3.30.26,0,583.84,501.69,0,583.84,501.69,0.9862,582.54,504.59,0.9857,0.301916,0.279715,0.014369,0.298316,0.267116,0.023671,0.297101,0.266335,0.023532,0.295872,0.265684,0.023623,0.298016,0.267461,-0.001637,0.296689,0.267004,-0.001856,0.29508,0.266558,-0.00192,0.286208,0.266353,0.063524,0.284991,0.268305,-0.050995,0.296461,0.289089,0.034021,0.296006,0.288972,-0.000334,0.260572,0.325562,0.132455,0.27642,0.323162,-0.107865,0.258489,0.408333,0.175171,0.274527,0.4139,-0.151518,0.268054,0.463316,0.135917,0.303404,0.467209,-0.148555,0.26851,0.479477,0.139461,0.307135,0.488704,-0.167805,0.27329,0.478138,0.120521,0.308233,0.48795,-0.160788,0.273122,0.475132,0.127542,0.306898,0.481144,-0.144616,0.255935,0.467541,0.074844,0.274713,0.471346,-0.075059,0.242141,0.570352,0.111445,0.306142,0.565651,-0.052962,0.215833,0.678635,0.123842,0.33634,0.679482,-0.06868,0.207563,0.703419,0.122358,0.335518,0.705271,-0.071888,0.238061,0.691838,0.099301,0.364699,0.667934,-0.1155
EH_3_Lat_3.30.26,1,584.14,502.98,0,584.14,502.98,0.9863,586.11,506.9,0.9864,0.302063,0.277345,-0.031436,0.298372,0.265368,-0.022868,0.297171,0.264629,-0.023001,0.295968,0.263998,-0.022921,0.29804,0.265655,-0.045914,0.296705,0.265304,-0.046109,0.295092,0.265017,-0.046189,0.286385,0.265533,0.018215,0.285041,0.267361,-0.085468,0.296982,0.288059,-0.011644,0.296535,0.288168,-0.042864,0.263118,0.325222,0.092467,0.276605,0.323817,-0.131024,0.258703,0.408633,0.129443,0.274868,0.414779,-0.166597,0.268252,0.469839,0.08656,0.305263,0.469348,-0.153461,0.270968,0.484331,0.087627,0.308412,0.490657,-0.173863,0.273682,0.482812,0.067836,0.310514,0.490582,-0.166919,0.274549,0.486458,0.077533,0.309389,0.48326,-0.149513,0.255933,0.474481,0.068238,0.274636,0.476236,-0.068389,0.241909,0.571658,0.11244,0.306132,0.569346,-0.017927,0.215752,0.679194,0.142078,0.336394,0.679625,0.013804,0.206115,0.703133,0.142594,0.335693,0.704399,0.015234,0.237979,0.691561,0.120651,0.365242,0.665639,-0.018054
EH_3_Lat_3.30.26,2,584.91,504.89,0,584.91,504.89,0.9873,586.86,506.89,0.987,0.302667,0.276982,-0.034504,0.299196,0.265119,-0.026718,0.297933,0.264419,-0.026834,0.296714,0.263841,-0.026769,0.298919,0.265394,-0.048654,0.297566,0.265081,-0.048834,0.296091,0.264841,-0.048899,0.287206,0.265512,0.010284,0.28657,0.267282,-0.088329,0.297888,0.287853,-0.016384,0.297486,0.288037,-0.046074,0.263666,0.325328,0.080257,0.276896,0.325136,-0.131631,0.258753,0.409224,0.115023,0.274859,0.415401,-0.164785,0.268148,0.473008,0.076477,0.305657,0.469341,-0.15176,0.27038,0.489234,0.076702,0.308578,0.490778,-0.171524,0.273452,0.487778,0.058741,0.310612,0.490825,-0.165029,0.2741,0.486748,0.068153,0.309662,0.483397,-0.147937,0.25593,0.474788,0.064791,0.274531,0.476666,-0.06492,0.241562,0.572438,0.112766,0.306007,0.570294,-0.011645,0.215689,0.679273,0.140306,0.336405,0.6797,0.023533,0.205666,0.703208,0.14047,0.335694,0.704377,0.025579,0.238229,0.691548,0.119442,0.365717,0.665488,-0.003748
EH_3_Lat_3.30.26,3,584.28,507.82,0,584.28,507.82,0.9875,588.3,507.97,0.9881,0.303388,0.27696,-0.049118,0.29987,0.265137,-0.041496,0.29867,0.264434,-0.041605,0.297524,0.263852,-0.041551,0.299578,0.265432,-0.062872,0.298294,0.265119,-0.063036,0.296925,0.264877,-0.06311,0.288458,0.265969,-0.003067,0.288066,0.267571,-0.099441,0.298874,0.287887,-0.030554,0.298579,0.28808,-0.059512,0.265557,0.325775,0.069366,0.277632,0.326684,-0.14155,0.259254,0.410003,0.101523,0.275044,0.416745,-0.170521,0.268144,0.47634,0.062928,0.306408,0.470342,-0.154252,0.270633,0.491112,0.0628,0.308767,0.492348,-0.174949,0.273413,0.490076,0.044235,0.310747,0.492623,-0.168632,0.274154,0.490651,0.054313,0.309989,0.485357,-0.150651,0.255976,0.47651,0.064655,0.274344,0.478128,-0.064772,0.241187,0.574074,0.134801,0.306011,0.571523,-0.007524,0.215484,0.679455,0.183054,0.336559,0.679908,0.03478,0.205537,0.703137,0.185573,0.335951,0.704611,0.037607,0.238242,0.691528,0.166079,0.367433,0.665443,0.006699
EH_3_Lat_3.30.26,4,584.33,509.46,0,584.33,509.46,0.9881,589.13,509.51,0.989,0.304155,0.276987,-0.050469,0.300593,0.265295,-0.043281,0.2995,0.264686,-0.043385,0.298429,0.26422,-0.043336,0.300273,0.265531,-0.063826,0.299095,0.265252,-0.063988,0.297812,0.265037,-0.064057,0.289596,0.266811,-0.006085,0.289379,0.267955,-0.098878,0.299729,0.287951,-0.032373,0.299453,0.288203,-0.060228,0.267704,0.325807,0.065348,0.27887,0.328366,-0.140773,0.260195,0.411386,0.096403,0.27506,0.41794,-0.169855,0.268075,0.477376,0.060212,0.306839,0.471773,-0.153902,0.269692,0.493288,0.059994,0.308901,0.493969,-0.174376,0.272994,0.492597,0.042822,0.310823,0.49445,-0.167881,0.273621,0.492828,0.052253,0.310264,0.486874,-0.15022,0.255972,0.476766,0.063905,0.2739,0.478753,-0.064019,0.24088,0.575528,0.139058,0.306034,0.572185,-0.008227,0.21522,0.679453,0.187757,0.336618,0.679806,0.029818,0.205224,0.702974,0.19048,0.336077,0.704618,0.032413,0.238158,0.691787,0.173814,0.367794,0.665451,0.003873
EH_3_Lat_3.30.26,5,585.62,512.06,0,585.62,512.06,0.9879,589.42,510.24,0.9898,0.305485,0.277685,-0.046641,0.30226,0.266563,-0.039388,0.301258,0.26595,-0.039491,0.300275,0.265445,-0.039441,0.301972,0.266864,-0.060001,0.300919,0.266653,-0.060162,0.299765,0.266489,-0.060229,0.291945,0.267709,-0.002998,0.291239,0.268921,-0.096093,0.301289,0.288453,-0.028918,0.30096,0.288823,-0.05687,0.269979,0.3258,0.067122,0.280142,0.329675,-0.139338,0.261037,0.411724,0.098819,0.275224,0.418708,-0.170274,0.268958,0.477485,0.06367,0.306988,0.472445,-0.153586,0.269994,0.497935,0.06428,0.309079,0.494569,-0.173875,0.273966,0.492141,0.046925,0.311011,0.494942,-0.167319,0.273905,0.493286,0.0557,0.310548,0.487397,-0.14987,0.256513,0.476786,0.063717,0.27392,0.47961,-0.06383,0.240716,0.575648,0.13922,0.306085,0.572805,-0.012376,0.215224,0.679223,0.183313,0.336679,0.679839,0.022844,0.205247,0.701723,0.185492,0.336077,0.704759,0.025219,0.238462,0.691481,0.167581,0.368144,0.665435,-0.003484
EH_3_Lat_3.30.26,6,586.29,513.5,0,586.29,513.5,0.9891,590.28,511.5,0.9907,0.307137,0.277978,-0.04875,0.303786,0.267213,-0.041368,0.302798,0.26672,-0.041472,0.301854,0.266345,-0.041424,0.303475,0.267431,-0.061973,0.302452,0.267274,-0.062133,0.301357,0.267147,-0.062201,0.2935,0.268638,-0.004234,0.293082,0.269497,-0.097183,0.302958,0.288875,-0.03081,0.302754,0.28924,-0.058713,0.271502,0.326556,0.067155,0.281555,0.331223,-0.139121,0.261885,0.412636,0.100134,0.275375,0.419446,-0.168607,0.268986,0.477606,0.064312,0.30744,0.473614,-0.153152,0.269987,0.500116,0.064377,0.309359,0.49555,-0.173678,0.273958,0.492028,0.046937,0.311278,0.495882,-0.167171,0.273944,0.493504,0.056281,0.310969,0.488383,-0.149487,0.256506,0.476814,0.063414,0.273799,0.479815,-0.063525,0.240675,0.575805,0.136727,0.306107,0.572764,-0.005134,0.215227,0.679057,0.179659,0.336754,0.6798,0.03582,0.205263,0.701555,0.181787,0.336077,0.704738,0.038749,0.238307,0.69148,0.163134,0.36847,0.665442,0.010627
EH_3_Lat_3.30.26,7,588.12,512.11,0,588.12,512.11,0.9884,590.9,512.48,0.9914,0.308445,0.278132,-0.043271,0.304971,0.267591,-0.035881,0.304022,0.267226,-0.035982,0.303094,0.266935,-0.035933,0.304649,0.267755,-0.055962,0.303614,0.267673,-0.056124,0.302536,0.267613,-0.056189,0.294616,0.269149,0.000548,0.294501,0.269957,-0.09063,0.304217,0.289094,-0.025674,0.304023,0.289455,-0.052892,0.272935,0.326736,0.067763,0.282826,0.3321,-0.136633,0.262202,0.412994,0.097679,0.276171,0.420491,-0.160552,0.268693,0.477615,0.062095,0.307763,0.474517,-0.142689,0.269253,0.500429,0.062295,0.309565,0.496191,-0.162689,0.273074,0.492757,0.044533,0.311663,0.496212,-0.155287,0.27356,0.493656,0.054094,0.311377,0.489037,-0.138895,0.256481,0.47667,0.060576,0.273684,0.47982,-0.060678,0.240557,0.57585,0.135147,0.306118,0.573238,-0.011547,0.215243,0.679061,0.167056,0.33685,0.67996,0.019056,0.205268,0.701599,0.168271,0.336231,0.704921,0.020997,0.238168,0.690652,0.148591,0.368606,0.665914,-0.006483
EH_3_Lat_3.30.26,8,589.25,513.04,0,589.25,513.04,0.9882,591.28,512.94,0.9921,0.310469,0.278655,-0.044901,0.307062,0.268449,-0.037764,0.306104,0.26817,-0.037864,0.305157,0.267959,-0.037817,0.306751,0.268646,-0.057152,0.305744,0.268703,-0.057315,0.304612,0.268761,-0.05738,0.296641,0.270106,-0.001676,0.296231,0.270905,-0.089425,0.306198,0.290008,-0.027411,0.305932,0.290442,-0.053705,0.274696,0.326842,0.065085,0.28435,0.332617,-0.135026,0.26282,0.412954,0.093057,0.277063,0.421117,-0.155671,0.268683,0.477309,0.055637,0.307958,0.474945,-0.139213,0.268768,0.498703,0.05524,0.309947,0.496485,-0.158529,0.272996,0.492192,0.037841,0.312042,0.496323,-0.151603,0.273399,0.493059,0.047716,0.311685,0.489207,-0.135596,0.256477,0.476638,0.058515,0.273628,0.479681,-0.058614,0.240513,0.575909,0.118849,0.306325,0.573493,-0.01642,0.215243,0.67892,0.150063,0.336969,0.680059,0.006545,0.205277,0.701229,0.151189,0.336307,0.704983,0.007716,0.23838,0.690696,0.132579,0.368975,0.666092,-0.020718
EH_3_Lat_3.30.26,9,590.99,512.86,0,590.99,512.86,0.9882,591.34,513.09,0.9927,0.312148,0.27913,-0.047814,0.308694,0.26907,-0.040131,0.307818,0.268856,-0.040233,0.306957,0.268689,-0.040184,0.308262,0.269197,-0.059436,0.307176,0.269241,-0.059598,0.305961,0.269261,-0.059665,0.298783,0.271176,-0.002538,0.297746,0.272034,-0.089628,0.308134,0.290624,-0.02996,0.307734,0.291195,-0.056104,0.276617,0.32782,0.063471,0.285723,0.333169,-0.134119,0.263786,0.412934,0.092791,0.277542,0.421323,-0.154081,0.268647,0.478541,0.057832,0.307988,0.475084,-0.139778,0.268454,0.497626,0.057899,0.310028,0.496787,-0.159301,0.272617,0.492989,0.040072,0.312196,0.496427,-0.152114,0.273173,0.492234,0.049844,0.311834,0.489403,-0.136097,0.256535,0.476499,0.057212,0.273617,0.47951,-0.057308,0.240515,0.575847,0.116053,0.306912,0.573556,-0.016561,0.215277,0.679023,0.148406,0.337083,0.68009,0.007039,0.205622,0.701243,0.149646,0.33632,0.705133,0.008431,0.238283,0.690545,0.13112,0.368987,0.666865,-0.018198
