video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
EH_Lat_2_3.9.26,0,674.64,631.49,0,674.64,631.49,0.9886,669.39,638.61,0.995,0.362729,0.303356,-0.039222,0.356249,0.288876,-0.027941,0.354585,0.288298,-0.028146,0.353019,0.28783,-0.028071,0.355507,0.288991,-0.059941,0.353539,0.288613,-0.060243,0.35174,0.288209,-0.060358,0.340765,0.289057,0.026863,0.340131,0.290333,-0.117208,0.35409,0.319119,-0.012739,0.353727,0.319204,-0.056061,0.314107,0.374898,0.138168,0.317318,0.378657,-0.184116,0.301667,0.511156,0.193218,0.298249,0.503945,-0.247544,0.319702,0.629332,0.135776,0.348641,0.591308,-0.254651,0.322067,0.646811,0.137087,0.357411,0.619313,-0.286521,0.329021,0.645296,0.108393,0.362234,0.61464,-0.273383,0.328882,0.638173,0.122571,0.359346,0.606229,-0.248459,0.285474,0.593869,0.096311,0.300013,0.594828,-0.096529,0.249106,0.761013,0.102124,0.365447,0.735222,-0.066063,0.174285,0.8932,0.091375,0.360064,0.928606,-0.028329,0.152868,0.913114,0.086839,0.343859,0.955554,-0.025734,0.20214,0.954472,0.048397,0.401901,0.983106,-0.065778
EH_Lat_2_3.9.26,1,675.93,631.41,0,675.93,631.41,0.9893,669.12,635.63,0.9949,0.36273,0.30371,-0.037479,0.356677,0.288842,-0.026103,0.355075,0.288186,-0.026299,0.353524,0.287556,-0.02624,0.355944,0.288946,-0.058313,0.354059,0.288473,-0.058605,0.352267,0.287896,-0.058703,0.340914,0.288666,0.029358,0.340249,0.289754,-0.115784,0.35423,0.319219,-0.010805,0.353852,0.319214,-0.054345,0.314248,0.37326,0.140261,0.317083,0.377366,-0.183309,0.303431,0.511156,0.190512,0.298252,0.503966,-0.240585,0.320968,0.6286,0.119296,0.3485,0.588551,-0.233648,0.323839,0.64682,0.117184,0.356688,0.616712,-0.262298,0.330261,0.644986,0.091493,0.362149,0.613289,-0.252339,0.32968,0.63737,0.106525,0.359175,0.605046,-0.228146,0.285472,0.594699,0.096636,0.299937,0.59636,-0.096857,0.248388,0.761235,0.10453,0.365446,0.735262,-0.066252,0.174277,0.893306,0.093563,0.360157,0.928395,-0.022117,0.151714,0.914815,0.089217,0.343716,0.955335,-0.01853,0.202162,0.954413,0.056128,0.401963,0.98303,-0.052476
EH_Lat_2_3.9.26,2,676.48,631.98,0,676.48,631.98,0.9891,670.1,635.66,0.9951,0.362665,0.303728,-0.044697,0.356832,0.288806,-0.034328,0.355285,0.28813,-0.034517,0.353749,0.287451,-0.034475,0.356174,0.288911,-0.065752,0.354395,0.288409,-0.066026,0.352633,0.287765,-0.066108,0.34097,0.288657,0.020834,0.340326,0.289593,-0.120655,0.354233,0.319254,-0.017908,0.353885,0.319213,-0.060296,0.314249,0.372416,0.131068,0.317004,0.377139,-0.184493,0.303853,0.511412,0.17184,0.29851,0.504853,-0.241379,0.325342,0.614023,0.099447,0.349008,0.588576,-0.234112,0.328848,0.645204,0.095707,0.356771,0.616602,-0.263239,0.332936,0.637068,0.070547,0.362204,0.613293,-0.256147,0.332721,0.630778,0.086762,0.359304,0.605104,-0.230424,0.285454,0.594336,0.096012,0.299724,0.596246,-0.096232,0.248232,0.761265,0.097616,0.365452,0.735229,-0.059722,0.174274,0.893308,0.079392,0.360145,0.928382,-0.00607,0.151216,0.914855,0.074429,0.343675,0.955512,-0.001939,0.202315,0.954622,0.039387,0.401953,0.98298,-0.035753
EH_Lat_2_3.9.26,3,676.2,631.08,0,676.2,631.08,0.9892,670.78,635.68,0.9953,0.362448,0.303774,-0.044673,0.356875,0.288787,-0.034365,0.355374,0.288092,-0.034552,0.353872,0.287376,-0.03451,0.356231,0.288898,-0.065733,0.354497,0.288383,-0.066008,0.352744,0.287701,-0.066092,0.341011,0.288595,0.020362,0.34034,0.289367,-0.120784,0.354196,0.319312,-0.018042,0.353874,0.319229,-0.060341,0.314314,0.371814,0.130852,0.316907,0.377113,-0.184487,0.304188,0.511282,0.175279,0.298689,0.504927,-0.238183,0.325154,0.615078,0.108001,0.349364,0.588595,-0.230618,0.328499,0.644904,0.106038,0.357145,0.61654,-0.259426,0.33304,0.637406,0.079775,0.362492,0.613293,-0.251096,0.332704,0.630849,0.095192,0.359654,0.605052,-0.22607,0.285546,0.594364,0.095994,0.29969,0.596615,-0.096213,0.248198,0.76134,0.101931,0.365497,0.735052,-0.060233,0.174313,0.893307,0.091703,0.360077,0.927948,-0.005445,0.151169,0.914883,0.087995,0.343632,0.955488,-0.000844,0.202877,0.954767,0.056482,0.401951,0.982862,-0.033736
EH_Lat_2_3.9.26,4,675.64,631.26,0,675.64,631.26,0.9887,671.6,635.7,0.9954,0.361961,0.304341,-0.05251,0.356868,0.289148,-0.042993,0.355375,0.288331,-0.04318,0.353886,0.287505,-0.043146,0.35623,0.289371,-0.073544,0.354508,0.288774,-0.073816,0.352774,0.287988,-0.073894,0.341016,0.28873,0.010204,0.340346,0.289447,-0.127068,0.353978,0.31971,-0.026349,0.353741,0.319484,-0.067445,0.315521,0.371707,0.121747,0.316899,0.377109,-0.188195,0.305042,0.511398,0.167962,0.298877,0.505628,-0.240238,0.327521,0.611508,0.104278,0.34979,0.588615,-0.232618,0.331014,0.644775,0.101924,0.357617,0.616516,-0.263398,0.336105,0.637703,0.076662,0.362768,0.613194,-0.251488,0.334998,0.630936,0.091866,0.360004,0.605046,-0.226456,0.285699,0.594369,0.09522,0.299671,0.596798,-0.095442,0.24821,0.761133,0.095631,0.365676,0.735085,-0.055079,0.174421,0.89333,0.069637,0.360109,0.927934,0.014056,0.151176,0.914928,0.06394,0.343623,0.95546,0.019965,0.203131,0.954765,0.029586,0.401952,0.982395,-0.009552
EH_Lat_2_3.9.26,5,676.54,630.22,0,676.54,630.22,0.9896,672.67,635.73,0.9956,0.36193,0.30434,-0.052479,0.356973,0.289105,-0.04278,0.355534,0.288243,-0.042968,0.354079,0.287352,-0.042933,0.356379,0.289357,-0.07357,0.354739,0.288746,-0.073842,0.353055,0.287931,-0.073923,0.341146,0.288672,0.010469,0.340535,0.289325,-0.127825,0.353988,0.319709,-0.026381,0.353796,0.319453,-0.067768,0.316778,0.371628,0.121265,0.316891,0.377128,-0.188962,0.305317,0.511516,0.162645,0.299023,0.506462,-0.240269,0.327642,0.612413,0.089568,0.35035,0.588637,-0.232588,0.331206,0.644588,0.085111,0.358007,0.616524,-0.262021,0.336501,0.637807,0.060573,0.363054,0.613149,-0.252533,0.335255,0.630792,0.077123,0.360446,0.605044,-0.227332,0.286024,0.594368,0.094943,0.2997,0.596968,-0.095164,0.24822,0.760973,0.094724,0.365934,0.735121,-0.055901,0.174434,0.893333,0.070498,0.360154,0.927802,0.016138,0.151156,0.914943,0.064965,0.34358,0.95546,0.022415,0.203296,0.954872,0.029877,0.401949,0.982354,-0.006501
EH_Lat_2_3.9.26,6,675.71,628.7,0,675.71,628.7,0.9891,674.34,635.63,0.9957,0.361932,0.304337,-0.052081,0.357072,0.289098,-0.042194,0.355696,0.28821,-0.042382,0.35431,0.287271,-0.042341,0.356453,0.289355,-0.072953,0.354817,0.288744,-0.073226,0.353118,0.287913,-0.073308,0.341482,0.288626,0.011111,0.340614,0.289249,-0.127164,0.354111,0.319707,-0.026031,0.353928,0.319437,-0.067388,0.31689,0.371025,0.121113,0.316903,0.377127,-0.18872,0.305779,0.511559,0.164891,0.299571,0.506749,-0.240455,0.327276,0.613119,0.097628,0.351221,0.588543,-0.235113,0.330717,0.644544,0.094558,0.358744,0.61626,-0.264733,0.336199,0.638004,0.069585,0.363689,0.613007,-0.254947,0.33507,0.63083,0.085244,0.361246,0.605021,-0.229812,0.286243,0.594349,0.094228,0.300066,0.59717,-0.094446,0.248264,0.760897,0.095022,0.366498,0.735175,-0.053513,0.174753,0.893241,0.074053,0.360197,0.927514,0.013681,0.15116,0.914988,0.068833,0.343579,0.955065,0.019131,0.20364,0.954774,0.032291,0.401946,0.982257,-0.010414
EH_Lat_2_3.9.26,7,679.24,628.7,0,679.24,628.7,0.9894,676.49,635.65,0.9959,0.361945,0.304341,-0.051098,0.357285,0.289099,-0.041007,0.355981,0.288207,-0.041195,0.354669,0.287252,-0.041152,0.356658,0.289364,-0.072012,0.355038,0.288742,-0.072286,0.353315,0.287903,-0.07237,0.341936,0.288624,0.012723,0.34078,0.289157,-0.126611,0.354296,0.319699,-0.024917,0.354143,0.3194,-0.066602,0.317155,0.370746,0.123022,0.316964,0.37715,-0.188831,0.306292,0.511582,0.167762,0.300091,0.506909,-0.240727,0.327191,0.614166,0.099976,0.35234,0.588562,-0.236394,0.330694,0.644131,0.09677,0.359942,0.616234,-0.266032,0.336281,0.637931,0.071651,0.364868,0.612983,-0.25645,0.335098,0.630532,0.087465,0.362389,0.605023,-0.231209,0.286681,0.594437,0.094243,0.301069,0.597488,-0.094461,0.248584,0.760891,0.095525,0.367067,0.735189,-0.054204,0.175046,0.893171,0.076206,0.360199,0.927478,0.008208,0.151372,0.914758,0.071092,0.343554,0.955051,0.013455,0.20398,0.954838,0.032527,0.401929,0.981855,-0.017076
EH_Lat_2_3.9.26,8,682.68,630.21,0,682.68,630.21,0.9892,679.32,635.64,0.9959,0.361953,0.304303,-0.055421,0.357453,0.289085,-0.04561,0.356188,0.288166,-0.045799,0.354902,0.287164,-0.045758,0.356878,0.289362,-0.076263,0.355324,0.288739,-0.076532,0.353632,0.287887,-0.076611,0.342309,0.288543,0.008021,0.34114,0.289051,-0.129727,0.354445,0.319662,-0.029232,0.354357,0.319321,-0.070455,0.318762,0.370715,0.117724,0.317179,0.377426,-0.190253,0.307138,0.511793,0.157128,0.300737,0.508091,-0.24077,0.329897,0.611928,0.084975,0.35381,0.588553,-0.23746,0.333424,0.644141,0.080504,0.361794,0.616193,-0.267198,0.339108,0.638065,0.055474,0.366481,0.612918,-0.257496,0.337843,0.62809,0.072358,0.36405,0.605019,-0.232298,0.287532,0.594428,0.094186,0.301829,0.597604,-0.094401,0.248887,0.760817,0.096574,0.368111,0.735178,-0.052737,0.175132,0.892961,0.078103,0.360197,0.927409,0.010737,0.151497,0.914714,0.073128,0.343369,0.954727,0.015804,0.204672,0.954831,0.035865,0.401899,0.981179,-0.016412
EH_Lat_2_3.9.26,9,683.47,629.83,0,683.47,629.83,0.9895,682.38,635.7,0.9961,0.361988,0.30414,-0.054432,0.357594,0.288967,-0.044319,0.356348,0.287983,-0.044507,0.355093,0.286918,-0.044464,0.357026,0.289316,-0.075215,0.35547,0.28868,-0.075485,0.353769,0.287807,-0.075566,0.342722,0.288432,0.009868,0.341401,0.288954,-0.128909,0.354794,0.319332,-0.028118,0.354743,0.318948,-0.069653,0.320948,0.370743,0.119481,0.317446,0.377694,-0.190233,0.309061,0.511818,0.155459,0.301597,0.508645,-0.240881,0.331804,0.610718,0.076865,0.355406,0.588608,-0.237828,0.335563,0.64432,0.071444,0.363401,0.616187,-0.267536,0.341226,0.638301,0.045836,0.36827,0.612902,-0.259138,0.339852,0.628648,0.06385,0.365783,0.605024,-0.232515,0.289053,0.594449,0.094203,0.302743,0.597743,-0.094419,0.249469,0.760774,0.096709,0.369529,0.735199,-0.054972,0.175344,0.892786,0.079029,0.360401,0.927321,0.005991,0.15189,0.914327,0.074115,0.343376,0.954711,0.010594,0.205091,0.954917,0.036591,0.401924,0.981377,-0.022663
