video_id,frame_idx,true_wrist_x,true_wrist_y,occluded,yolo_wrist_x,yolo_wrist_y,yolo_conf,mp_wrist_x,mp_wrist_y,mp_wrist_vis,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,lm21_x,lm21_y,lm21_z,lm22_x,lm22_y,lm22_z,lm23_x,lm23_y,lm23_z,lm24_x,lm24_y,lm24_z,lm25_x,lm25_y,lm25_z,lm26_x,lm26_y,lm26_z,lm27_x,lm27_y,lm27_z,lm28_x,lm28_y,lm28_z,lm29_x,lm29_y,lm29_z,lm30_x,lm30_y,lm30_z,lm31_x,lm31_y,lm31_z,lm32_x,lm32_y,lm32_z
HA_Lat_1_6.13.26,0,712.0,554.0,0,717.59,554.81,0.9898,704.1,564.88,0.9955,0.407318,0.33879,-0.073768,0.403433,0.325434,-0.062344,0.402644,0.325161,-0.062514,0.401855,0.324741,-0.062467,0.40257,0.325133,-0.0897,0.400963,0.324504,-0.089929,0.399251,0.32361,-0.090053,0.393625,0.32668,-0.009595,0.390131,0.325695,-0.132544,0.403146,0.349689,-0.050521,0.402139,0.348561,-0.087182,0.375167,0.388075,0.087261,0.364858,0.377602,-0.186947,0.361936,0.462276,0.146101,0.337964,0.463294,-0.21472,0.382694,0.495122,0.095053,0.366721,0.523038,-0.191491,0.386963,0.509879,0.096462,0.373319,0.536798,-0.214478,0.392815,0.503142,0.071547,0.377559,0.528617,-0.206513,0.388721,0.498754,0.083263,0.37573,0.522978,-0.186865,0.324289,0.530619,0.083277,0.3244,0.531103,-0.083369,0.289467,0.643994,0.104924,0.370883,0.632918,-0.059531,0.237762,0.727777,0.125839,0.371797,0.767318,-0.013823,0.224581,0.727291,0.125186,0.361782,0.787736,-0.009838,0.239483,0.78359,0.09144,0.400667,0.804337,-0.042241
HA_Lat_1_6.13.26,1,712.0,554.0,0,716.75,557.35,0.9905,705.73,561.31,0.9958,0.407861,0.338792,-0.073754,0.404551,0.325427,-0.062355,0.403825,0.325118,-0.062522,0.403139,0.324685,-0.062474,0.403598,0.325048,-0.089473,0.402124,0.324259,-0.089704,0.400543,0.323185,-0.089823,0.394668,0.326305,-0.009365,0.391404,0.324786,-0.127615,0.403547,0.349612,-0.050284,0.402594,0.348524,-0.085917,0.374526,0.380535,0.087343,0.366247,0.376557,-0.176464,0.356422,0.460192,0.123197,0.338376,0.461687,-0.198371,0.377663,0.496038,0.044375,0.367569,0.519735,-0.168065,0.38332,0.509289,0.040854,0.374046,0.534069,-0.187538,0.385324,0.503851,0.019217,0.378867,0.52527,-0.178882,0.383805,0.499745,0.032974,0.376892,0.518579,-0.162647,0.322722,0.529219,0.080896,0.325325,0.531066,-0.081003,0.29058,0.643746,0.086175,0.370739,0.632968,-0.052159,0.237832,0.727798,0.087125,0.371579,0.767443,-0.003254,0.224525,0.726848,0.084886,0.361911,0.78721,0.001624,0.239101,0.783471,0.050824,0.400486,0.804141,-0.023822
HA_Lat_1_6.13.26,2,712.0,554.0,0,717.0,558.35,0.9908,706.85,561.33,0.9959,0.408008,0.338328,-0.064568,0.405087,0.325005,-0.053825,0.404287,0.324606,-0.053968,0.403528,0.324094,-0.053922,0.404407,0.324737,-0.079681,0.403147,0.323969,-0.079913,0.401829,0.322943,-0.080023,0.395062,0.325497,-0.002679,0.392879,0.324284,-0.11727,0.403651,0.348794,-0.041702,0.402886,0.347912,-0.075998,0.374477,0.377658,0.089576,0.367335,0.37588,-0.169214,0.355844,0.459593,0.117419,0.338999,0.461201,-0.195873,0.377956,0.497356,0.03348,0.368151,0.519748,-0.16957,0.383439,0.509513,0.029147,0.374875,0.534785,-0.189865,0.386013,0.50606,0.007302,0.37989,0.525797,-0.181209,0.383951,0.500455,0.021794,0.377963,0.5187,-0.164395,0.322607,0.528492,0.080114,0.325432,0.530045,-0.080221,0.290794,0.643168,0.079636,0.370361,0.63306,-0.056525,0.238122,0.727776,0.076839,0.371402,0.76769,-0.020879,0.224816,0.726745,0.074289,0.361857,0.787149,-0.017296,0.238883,0.78338,0.041678,0.400252,0.804193,-0.040624
HA_Lat_1_6.13.26,3,712.0,554.0,0,717.59,559.75,0.9905,707.15,561.54,0.9961,0.409206,0.337987,-0.065077,0.406644,0.324921,-0.054191,0.405877,0.32451,-0.054346,0.40515,0.32401,-0.054308,0.405825,0.32459,-0.080963,0.404543,0.323797,-0.081192,0.403228,0.322778,-0.081304,0.396744,0.325231,-0.003117,0.394211,0.324198,-0.118371,0.404855,0.348382,-0.042258,0.404014,0.347573,-0.077602,0.375402,0.377467,0.088547,0.368531,0.375765,-0.168796,0.355903,0.458702,0.116752,0.339846,0.460946,-0.191116,0.37712,0.49734,0.038164,0.368305,0.519944,-0.162688,0.383256,0.507697,0.034629,0.375402,0.535202,-0.182176,0.386405,0.504349,0.01261,0.38065,0.525843,-0.173774,0.383858,0.499312,0.026701,0.378661,0.518839,-0.157414,0.322929,0.528103,0.077958,0.325534,0.528956,-0.078069,0.29119,0.642532,0.07367,0.369957,0.633078,-0.055715,0.238497,0.727663,0.063923,0.371336,0.768217,-0.019812,0.225105,0.726476,0.06063,0.361857,0.787149,-0.016131,0.238833,0.783216,0.025526,0.400104,0.804168,-0.039376
HA_Lat_1_6.13.26,4,707.0,555.0,0,717.49,561.17,0.9908,707.14,561.6,0.9963,0.412025,0.338624,-0.066694,0.409956,0.325558,-0.055695,0.40932,0.325085,-0.055832,0.408735,0.324585,-0.055788,0.408841,0.324983,-0.081414,0.407488,0.324039,-0.081641,0.406077,0.322924,-0.08175,0.39991,0.325438,-0.003331,0.396691,0.324225,-0.120026,0.407539,0.348777,-0.043132,0.406588,0.347981,-0.078079,0.376059,0.376736,0.088451,0.371573,0.375758,-0.170184,0.354375,0.457567,0.119802,0.340819,0.46042,-0.193635,0.375388,0.498017,0.046053,0.3683,0.519997,-0.167113,0.378981,0.511145,0.043211,0.375367,0.535218,-0.18757,0.384028,0.505983,0.020727,0.380642,0.525889,-0.179158,0.382143,0.501346,0.034514,0.378604,0.518924,-0.161976,0.322988,0.52694,0.078217,0.326642,0.528571,-0.078326,0.291271,0.641475,0.078832,0.36959,0.633308,-0.053884,0.238985,0.72764,0.073047,0.371279,0.768481,-0.014985,0.22563,0.725873,0.071046,0.361852,0.787496,-0.010924,0.238809,0.783172,0.03688,0.40022,0.803081,-0.034806
HA_Lat_1_6.13.26,5,709.0,560.0,0,710.26,561.9,0.9857,706.95,562.41,0.9965,0.414512,0.33812,-0.066987,0.411951,0.325211,-0.055728,0.411075,0.324722,-0.055865,0.410237,0.324249,-0.055824,0.411257,0.324686,-0.082072,0.409978,0.323785,-0.082297,0.40864,0.322732,-0.082405,0.401302,0.325239,-0.004725,0.399165,0.324198,-0.12129,0.410052,0.348397,-0.043252,0.409455,0.347693,-0.078864,0.376124,0.37557,0.086808,0.373621,0.376025,-0.171662,0.352924,0.455429,0.12379,0.341461,0.460328,-0.193177,0.374003,0.497628,0.054366,0.368205,0.520753,-0.164503,0.377712,0.510576,0.051995,0.375161,0.535893,-0.18456,0.3833,0.505844,0.027898,0.380564,0.526599,-0.175835,0.380446,0.501165,0.042341,0.378548,0.519829,-0.159205,0.323003,0.525263,0.077829,0.327339,0.527904,-0.077938,0.291709,0.640252,0.087329,0.369295,0.633547,-0.039722,0.23985,0.727656,0.086697,0.371083,0.768516,0.006951,0.226356,0.725614,0.085648,0.361795,0.787501,0.011976,0.238752,0.78265,0.052886,0.40022,0.802866,-0.012368
HA_Lat_1_6.13.26,6,709.0,560.0,0,710.79,561.06,0.9853,707.14,562.92,0.9967,0.41654,0.338554,-0.067399,0.414575,0.325628,-0.055887,0.413652,0.32504,-0.056034,0.412752,0.3245,-0.055999,0.414055,0.325162,-0.082751,0.412871,0.324229,-0.082976,0.411678,0.323176,-0.083088,0.403338,0.325269,-0.005634,0.402049,0.324328,-0.121045,0.411474,0.348605,-0.043525,0.411057,0.347981,-0.079556,0.376486,0.374541,0.085502,0.374819,0.376888,-0.16921,0.352807,0.454074,0.120976,0.342172,0.460171,-0.187813,0.374202,0.497294,0.051787,0.368302,0.521227,-0.153372,0.377847,0.510437,0.049654,0.375348,0.536571,-0.17138,0.383619,0.50582,0.027533,0.381063,0.527034,-0.162718,0.380926,0.501163,0.040565,0.37887,0.520325,-0.147808,0.323026,0.524045,0.07615,0.32807,0.527461,-0.076279,0.292239,0.639165,0.087729,0.368944,0.633847,-0.033051,0.240972,0.727831,0.088332,0.37087,0.768777,0.016192,0.22744,0.72563,0.086474,0.361727,0.787642,0.021366,0.238725,0.781487,0.052898,0.400254,0.802606,-0.001516
HA_Lat_1_6.13.26,7,709.0,560.0,0,712.84,565.34,0.9854,707.11,563.5,0.9969,0.41777,0.338904,-0.060035,0.415314,0.325952,-0.049714,0.414268,0.325279,-0.049852,0.413232,0.324689,-0.049804,0.415056,0.325613,-0.075257,0.413933,0.324701,-0.075493,0.412794,0.323701,-0.075599,0.404136,0.325362,-0.002384,0.403571,0.324672,-0.11498,0.412617,0.348702,-0.037926,0.41252,0.348194,-0.072127,0.376609,0.373956,0.087998,0.376091,0.377745,-0.163422,0.352688,0.452765,0.138104,0.342746,0.460151,-0.18494,0.374248,0.496987,0.09879,0.368289,0.52176,-0.154576,0.377746,0.51018,0.10194,0.375319,0.537432,-0.172695,0.383709,0.50579,0.079981,0.381121,0.528028,-0.163422,0.38118,0.501273,0.088482,0.378877,0.52157,-0.148912,0.323037,0.523263,0.075165,0.328557,0.527069,-0.075303,0.292514,0.638537,0.07528,0.368621,0.634226,-0.03068,0.241655,0.727846,0.061134,0.370795,0.769013,0.01876,0.228386,0.7251,0.057679,0.361649,0.7878,0.024017,0.238679,0.781502,0.024142,0.400254,0.802374,0.003652
HA_Lat_1_6.13.26,8,709.0,560.0,0,712.18,565.32,0.986,708.28,564.34,0.9969,0.418902,0.33886,-0.0608,0.416459,0.325948,-0.049885,0.415451,0.325275,-0.050027,0.414481,0.324679,-0.04997,0.416253,0.325624,-0.075589,0.415159,0.324734,-0.075828,0.41406,0.323763,-0.075935,0.405497,0.325335,0.000412,0.404791,0.324689,-0.113535,0.413928,0.348636,-0.038064,0.413807,0.348173,-0.072429,0.380769,0.374554,0.092067,0.376561,0.378659,-0.163837,0.355046,0.453111,0.134272,0.343379,0.460149,-0.186924,0.375465,0.497615,0.062754,0.368894,0.522533,-0.159537,0.378526,0.511486,0.060132,0.375772,0.538275,-0.179246,0.383756,0.507264,0.037531,0.381788,0.528769,-0.170341,0.381503,0.502237,0.051231,0.379798,0.521964,-0.154149,0.323933,0.52275,0.07564,0.328842,0.526052,-0.075772,0.292955,0.638147,0.070223,0.368424,0.634304,-0.032773,0.242433,0.727822,0.057945,0.370631,0.769174,0.002619,0.228891,0.724844,0.054368,0.361648,0.787867,0.006272,0.238681,0.781507,0.019475,0.40042,0.802047,-0.01337
HA_Lat_1_6.13.26,9,712.0,566.0,0,711.11,567.77,0.985,709.14,564.66,0.9971,0.419882,0.339695,-0.056064,0.417154,0.326747,-0.045575,0.416215,0.326115,-0.04571,0.415314,0.32555,-0.045653,0.416836,0.326312,-0.069905,0.415611,0.325383,-0.070146,0.414339,0.324399,-0.070247,0.406954,0.326884,0.00228,0.405308,0.326044,-0.105818,0.415309,0.349399,-0.034529,0.414948,0.348814,-0.067017,0.381339,0.375038,0.091806,0.378864,0.379176,-0.154233,0.355025,0.453029,0.125159,0.344461,0.460006,-0.175069,0.375581,0.497524,0.050441,0.369345,0.522837,-0.151476,0.378957,0.509192,0.047013,0.376154,0.538771,-0.17059,0.384121,0.507192,0.025237,0.382504,0.529225,-0.162049,0.381803,0.50225,0.039181,0.3803,0.522456,-0.146364,0.32393,0.520923,0.073293,0.329512,0.525038,-0.073421,0.293559,0.637512,0.055529,0.368173,0.634392,-0.036699,0.243385,0.727869,0.027256,0.370598,0.769297,0.000527,0.22968,0.724818,0.021995,0.36148,0.78808,0.003517,0.238771,0.781557,-0.015527,0.400375,0.802052,-0.015894
